Feature	IL_17_Bacillus.S.	IL_17_Bacteroides.V.	IL_17_Candida.A.	IL_17_CD3_CD28	IL_17_Clostridium.P.	IL_17_PBS	IL_17_Pseudomonas.A.	IL_17_Staph.A.
Bzrap1	0.0209753277689779	0.0212979123201944	0.00832017383880786	0.052946745339691	0.0156322734112981	0.00778629848513434	0.011212084461766	0.0214558467356635
C230024C17Rik	0.0361754514707253	0.0102635219478549	0.120490196436183	0.0105320725329659	0.0770153675157852	0.00807801880464897	0.00941028391624445	0.0203620493064593
Capn11	0.0393957237100767	0.021541317661154	0.0522099596999358	0.0305042904448317	0.0318293247921217	0.00760961770924118	0.0114693567303195	0.0410334202427694
Capn6	0.0666193975893975	0.0741878994207073	0.0754386527366406	0.0265910337328601	0.0680553977411594	0.0123370819117438	0.0610145053930668	0.0845640978970831
Car5a	0.0101840389165811	0.0665589378777512	0.0238487937124735	0.0438776928435983	0.0173492299438188	0.00681299340295058	0.0511625182493054	0.0557278441962224
Ccdc88a	0.0186139786187619	0.0112030134895757	0.0127231231324973	0.0036143401749432	0.0071343645300651	0.0251546593395199	0.00829674637865797	0.00309968918270012
Ccl4	0.00980134340502539	0.00490776378055741	0.00628040817990463	0.00671495487490812	0.00297331045478756	0.0010706297655619	0.0131321246726146	0.0037432349955174
Ccnl1	0.0175830974679709	0.00517860328478393	0.012892820401603	0.0111975390524425	0.00874702491272412	0.00895302753970526	0.00640168187054041	0.00413560296939215
Ccno	0.0169548635988463	0.0273567815419856	0.0275954788202013	0.041348667198378	0.0455476041120848	0.00495408273048861	0.0387778702602556	0.0297802398699047
Ccrl2	0.00401344425255806	0.0158834873103277	0.0104682154166119	0.00417494866821569	0.013793022449425	0.0105593862861225	0.00726454735536582	0.00285329123727092
Cd28	0.00548161018955454	0.0088439335716609	0.0160127625567851	0.003403930506873	0.00460351302520629	0.0035086416757766	0.015734648643808	0.0290487084317352
