MIP_3a	KC	TNF_a	MCP_1	IP_10	MIP_1a	MIP_1b	IL_1a	IL_6
8.22667814319535	9.63857268345454	2.61144682813511	6.57128982247996	6.58107750015614	0	5.14154487645272	4.4462518596347	8.32809748343338
7.435845647401	8.88324154588609	7.41203087285782	4.37822823842576	1.00000000000001	6.23058204740973	3.30754671209983	3.55069087191757	6.83673725529481
7.68649064329513	8.52901405784975	4.9043630989358	4.18045894812269	6.65399157750767	3.34924913632956	4.18520414735848	1.93334830124966	0
6.54755782706587	7.31569404850201	3.04629598978355	0	5.25519396405606	0	2.87365253446776	1.88711565067238	3.88210168501254
7.30972600365565	7.75465316639164	4.93120112765939	5.79861606686457	7.78085467822626	4.13831142285956	4.72287107320558	3.30139224873222	5.9102109832435
0	2.15055967657538	0	0	1.00000000000001	0	1.00000000000004	1	0
7.79369801404121	8.8098360412639	0	7.80449999195703	7.11760212529555	0	3.74345605809355	4.08955881530495	7.88080863300979
8.5002550983127	7.88923962869277	5.08066362628456	4.94976187627825	1.00000000000001	3.62271761689389	4.87816065117906	2.10031674879083	0
8.82823928513061	8.13050605782915	6.0797407506867	4.68237957802513	7.64589377915536	3.71226518666366	5.29783596539946	1.80444274155742	0
7.1902494225538	8.22600894199558	4.78369417836771	5.72569638022723	8.80477580564502	4.50297328224171	5.03795832794497	4.00120969642293	6.41246772407793
8.5002550983127	8.56059687139456	4.54496608650362	5.31137769928485	7.12891735940276	4.2340723456371	4.83742441582752	3.12566014736774	5.93472283256038
7.31358991888319	9.32965202934254	4.7928877878844	6.39792192438538	7.65135930707059	3.95364683343207	4.44975363169605	3.27303821826027	7.13176521174843
8.02579956881309	9.54448157719471	3.78364020652525	6.64738207881081	7.46175078121779	4.91904523594088	4.71422205694815	4.60811404859058	6.50249887898763
6.76976203952836	7.55028348142324	0	5.07067678062384	6.79610591506516	0	3.72676533796982	3.82809218098864	5.19745923525992
7.1828080022826	8.7329011421014	3.78364020652525	6.17629061516809	7.02426895693433	4.05196883421921	4.68092997362627	3.52829968792121	8.06895907482214
7.67428034163054	10.0088156030688	5.02726534215072	5.31693832022956	8.28688405642104	5.25361279010407	5.00269738973357	3.62642682954375	7.5472368956917
7.69219387723274	7.48055886787351	4.13405839699044	5.61526673646159	6.72645504319537	4.55576066531778	4.59414722694825	4.49366899950164	7.57274699738532
