CCL2_BacillusS	CCL2_BacteroidesV	CCL2_CandidaA	CCL2_CD3.CD28	CCL2_ClostridiumP	CCL2_PBS	CCL2_PseudomonasA	CCL2_StaphA	IL.1a_BacillusS	IL.1a_BacteroidesV	IL.1a_CandidaA	IL.1a_CD3.CD28	IL.1a_ClostridiumP	IL.1a_PBS	IL.1a_PseudomonasA	IL.1a_StaphA	IL.5_BacillusS	IL.5_BacteroidesV	IL.5_CandidaA	IL.5_CD3.CD28	IL.5_ClostridiumP	IL.5_PBS	IL.5_PseudomonasA	IL.5_StaphA	IFN.y_BacillusS	IFN.y_BacteroidesV	IFN.y_CandidaA	IFN.y_CD3.CD28	IFN.y_ClostridiumP	IFN.y_PBS	IFN.y_PseudomonasA	IFN.y_StaphA	TNF.a_BacillusS	TNF.a_BacteroidesV	TNF.a_CandidaA	TNF.a_CD3.CD28	TNF.a_ClostridiumP	TNF.a_PBS	TNF.a_PseudomonasA	TNF.a_StaphA	CXCL1_BacillusS	CXCL1_BacteroidesV	CXCL1_CandidaA	CXCL1_CD3.CD28	CXCL1_ClostridiumP	CXCL1_PBS	CXCL1_PseudomonasA	CXCL1_StaphA	IL.1b_BacillusS	IL.1b_BacteroidesV	IL.1b_CandidaA	IL.1b_CD3.CD28	IL.1b_ClostridiumP	IL.1b_PBS	IL.1b_PseudomonasA	IL.1b_StaphA	IL.10_BacillusS	IL.10_BacteroidesV	IL.10_CandidaA	IL.10_CD3.CD28	IL.10_ClostridiumP	IL.10_PBS	IL.10_PseudomonasA	IL.10_StaphA	CCL3_BacillusS	CCL3_BacteroidesV	CCL3_CandidaA	CCL3_CD3.CD28	CCL3_ClostridiumP	CCL3_PBS	CCL3_PseudomonasA	CCL3_StaphA	CCL4_BacillusS	CCL4_BacteroidesV	CCL4_CandidaA	CCL4_CD3.CD28	CCL4_ClostridiumP	CCL4_PBS	CCL4_PseudomonasA	CCL4_StaphA	IL.17_BacillusS	IL.17_BacteroidesV	IL.17_CandidaA	IL.17_CD3.CD28	IL.17_ClostridiumP	IL.17_PBS	IL.17_PseudomonasA	IL.17_StaphA	IL.6_BacillusS	IL.6_BacteroidesV	IL.6_CandidaA	IL.6_CD3.CD28	IL.6_ClostridiumP	IL.6_PBS	IL.6_PseudomonasA	IL.6_StaphA	IL.13_BacillusS	IL.13_BacteroidesV	IL.13_CandidaA	IL.13_CD3.CD28	IL.13_ClostridiumP	IL.13_PBS	IL.13_PseudomonasA	IL.13_StaphA
9.278544158	10.33168009	7.359376177	8.089431863	9.44337825	5.474291985	11.56078754	7.206316209	4.033673638	5.038231447	5.336626894	2.952113991	4.276049008	2.778107196	4.876497608	3.873590323	8.773567251	11.91780023	8.146994604	62.14257391	6.600514713	5.642833857	8.897307691	7.548539764	23.72239353	56.9028385	10.30658242	1170.852173	21.30268859	6.07907773	30.91508604	72.85732519	5.515535629	7.393555908	4.546770183	59.63339932	10.77423514	2.743913735	7.289022165	14.92876886	37.51461361	75.51303375	21.61235941	29.876952	38.95221934	10.11000408	55.41437386	38.44203678	11.32622982	15.82679924	15.20450149	17.42568309	13.33493469	9.467224517	19.73859723	16.83619064	74.91597865	181.2421058	90.71062619	264.0837008	116.669999	122.7276702	254.3155187	223.1427219	81.35535017	138.2264546	15.16700413	257.6452314	28.11353273	10.52193489	156.8327221	108.0162657	46.50417888	43.11364756	3.155224103	151.1009843	43.33684957	11.06342945	66.27712093	40.7905658	9.17332958	14.55131826	14.745966	46.04025171	9.252763589	5.821701237	15.68285926	11.80990848	82.78551294	157.153169	87.26301777	98.86660213	70.31074709	46.35820203	125.936261	89.4072764	6.411735441	8.101842546	6.019191673	9.579809068	6.859610325	3.379076311	8.064181149	10.57055294
162.3228944	64.09722668	28.74161427	35.77753836	65.13204468	20.83367078	73.61888201	138.3313546	7.991621186	7.187631221	7.591422401	5.060728381	9.737327703	4.22851939	13.10142705	8.932158835	10.47113104	12.08501461	11.98462001	141.8929263	11.84551208	11.50220396	12.07384993	15.41026457	839.0254416	318.5313671	313.0292212	3851.171992	1744.564479	29.53287103	3227.314445	2636.007317	27.94640141	77.71347497	15.52206438	207.1482897	112.3811169	7.059803264	50.47122376	139.6599413	2601.360789	2466.7589	500.3694932	240.543276	1763.420891	312.2256442	2570.326854	2004.945816	10.09604557	11.95600936	10.7908211	16.12817827	15.96185481	14.33655929	14.62024513	13.73475283	172.4191575	257.5233255	105.3413087	253.3488552	215.5062382	165.8989052	265.080825	257.0435594	425.4428476	638.1532949	79.00307193	371.1151375	470.8654834	27.49715558	535.2971666	606.4665026	182.6947291	197.3664505	64.55239004	461.5362789	146.4502028	58.12090259	209.5658561	321.7601277	28.65330465	25.17458288	39.38496998	292.9651881	13.60753084	13.8562747	23.05222432	46.33579975	159.8722623	222.9444291	90.11522098	144.6889719	106.1303853	94.1358752	246.9329815	154.2046274	13.39516393	12.50738374	7.654990739	15.83487134	10.23576166	13.3370019	15.20850524	12.68954309
9.792688933	8.243666735	9.744155974	8.983049369	9.045995545	6.78678491	10.64259703	9.870351847	3.160846	3.051469177	3.623454183	2.575797966	3.253477701	2.745441845	3.701523005	2.997270117	6.510674959	9.866488067	8.553059396	10.15963244	6.210872526	6.920291313	5.89264759	5.965967074	21.66735214	18.35967165	15.29725505	1004.390885	18.23308956	18.54107653	387.1808929	11.78368351	5.750393292	6.725141737	3.451246306	49.98927168	6.620460916	3.342579131	6.036741067	7.800775091	49.32645816	64.44063612	23.54472007	15.89316176	29.77688026	13.56745789	184.132955	31.31394893	10.57669894	15.99822867	13.63725395	10.70609399	10.16520789	8.58515621	11.33627105	10.03188907	120.7177183	168.2337347	132.7823379	157.8955069	127.1459019	111.1896068	296.9470645	65.2717551	107.6358268	157.06314	15.64558918	290.9692502	29.01111647	13.20781933	150.0566639	70.64941531	58.06313905	59.7716628	47.88532365	163.415109	38.77916918	15.06569881	62.58949345	37.47917755	12.34539574	11.25718233	10.86119652	67.15054509	8.325185534	12.12915761	6.846317715	17.58525574	106.3872302	191.6527821	58.25870157	102.3487532	78.14333134	61.785968	161.4188937	62.64388497	7.97387405	7.159307237	6.492166743	4.667366895	8.305542505	4.795408523	7.524142847	3.911620268
13.78011953	9.307626222	9.73930296	8.552593053	10.11797484	4.11719611	31.14041214	15.9728724	3.642140794	3.270005762	3.706224486	2.027247849	4.859389406	1.715419624	10.28325121	3.889503699	7.361804341	7.381396122	8.131875341	25.21035678	9.245218636	3.827929582	20.94794653	5.105794353	18.75964862	45.00615002	16.39213491	499.436431	18.61382671	5.480226861	273.4571066	36.13802334	6.547646764	12.46038002	3.966530042	40.94031913	14.48273764	2.566950988	20.77419451	30.82588047	674.1279164	816.5826132	58.12972499	26.76653212	495.4532723	19.51563817	1846.880148	906.8388762	9.962869048	13.77069035	9.893924175	13.10992928	16.12817827	8.801830351	41.04362515	11.56250927	158.1601768	205.3618874	55.80951456	145.6171554	145.8891589	119.2041977	612.3168874	144.2546518	139.2821778	231.8288721	23.97996524	124.5968693	112.225338	7.235634506	411.0804885	301.0042028	35.2797687	56.38272054	36.04920092	91.46540019	28.65755593	17.1024779	125.9626346	43.45852515	7.932892075	8.139156937	11.90787927	43.80970896	9.878499175	7.739115437	17.89827485	12.25877067	99.39805332	153.0604047	63.66781285	90.95546535	89.78235961	1	361.3885659	145.2212049	10.13199527	7.651248408	9.205376246	6.397128008	11.06802559	2.132713882	13.24394318	7.692426203
15.54180277	18.55759988	12.68167154	14.05531359	6.157295139	3.425996898	9.14771101	13.91533738	4.346836531	5.245323759	3.846586404	3.701523005	3.862463608	1.393010836	3.698389772	2.923104691	3.4862873	12.11293692	6.978045428	9.208702093	7.405907325	2.783394974	3.784587668	0	190.494214	22.38388868	7.536013678	10630.89785	13.82482786	0	866.3010314	165.5440676	9.130513112	23.38006952	12.39680869	146.8166148	8.372860285	4.116816035	9.420934671	19.05270863	239.2993329	309.2241877	136.2047603	111.697589	101.8494967	67.99116791	257.0286233	157.8209314	2.378141274	10.44257247	9.663028469	2.60542284	5.103571769	1.821015804	1.213639398	4.033097332	37.38590059	266.2850301	102.724823	88.08036586	2.015835648	1	91.86586142	1	124.0578818	250.9140725	51.92759126	326.7624254	49.63466091	27.77842702	195.8432749	169.8660232	39.56066698	0	28.02051212	234.0373081	32.98158738	0	21.16676621	157.7057664	3.566880981	27.01896468	10.07626409	325.6144732	2.934493716	1.415369804	16.98339216	43.70641973	105.0255889	206.3875061	78.46493576	170.2650519	87.74998296	1	172.6871484	69.36428311	2.377274524	6.649804818	3.981528681	1.081864015	7.576448724	1.452731465	5.566497774	3.356631287
8.417367299	6.497320249	10.73490985	3.781735144	4.547810767	1.503192802	3.642097797	5.007969433	3.080902354	2.353272777	3.590828843	2.221590713	1.991677817	1.194440214	1.911228415	2.150899508	3.975020094	5.162640451	8.116764015	12.34807743	4.549152059	0	3.043502967	2.304126922	23.82189915	148.6210245	14.87767774	2044.118251	24.00137926	0	74.98177171	3.74239693	5.410983808	8.477752832	2.834700229	83.37229658	8.737439131	1.291234841	8.073908065	13.27960281	75.41634596	90.99930919	25.61288136	5.44328036	45.30729131	1.588239547	103.1767239	43.52941545	3.913310525	7.747651654	14.70802429	0	1.926880444	0	1.226846788	2.135234985	1	1	37.38590059	1	1	1	1	1	99.51266385	177.0443703	18.7740599	281.5960616	29.17199437	5.888574921	238.5680158	159.4570371	43.86374843	43.13394561	31.27929587	174.7362541	3.657656078	0	11.40860464	32.12097507	7.272289174	6.535283546	16.50022597	69.45841137	4.154790504	0	4.107966986	4.253372667	111.7338001	626	69.04386142	127.5539897	1	1	176.209718	72.87969219	7.14446662	4.588129212	7.520408434	1.795949564	2.430035896	0	5.057025732	0
98.93530426	16.82266641	14.7684777	13.40310393	22.14846805	7.848784682	41.72722355	49.72546223	4.996780948	6.172303629	4.28919058	3.77067362	6.005510701	2.064325305	8.797153592	4.529599766	8.850849645	8.985241828	11.04646786	91.29802573	10.53587577	4.361651691	11.67355604	8.232819743	311.2577287	47.33967782	20.65578189	4955.816146	45.44576052	5.512738554	808.5493472	83.65996036	18.72116676	28.44543603	8.668308221	231.710601	44.66739575	3.544931205	34.65803136	79.54605888	646.3312617	601.4763613	69.35394457	60.73001331	563.516069	33.94802978	820.4206159	615.8362776	11.33627105	11.47194329	6.621036478	10.27403753	7.512841329	6.59370943	13.95051139	8.55634069	152.0330463	249.949644	54.63154258	155.2402182	236.1544921	56.81635797	288.0467173	146.0930531	455.8324737	622.5525117	28.75943355	460.4225233	1	16.37580371	520.0084193	456.8333868	160.5393484	160.3638243	44.22797307	336.1496316	88.6559496	11.32228439	217.6243546	197.9833078	23.05222432	9.343809732	18.99693779	211.1796192	21.24427266	4.440112619	14.08695215	12.74981849	160.4646689	281.7621933	73.89273326	157.8124948	109.2910626	68.50959817	236.9052129	118.1834983	13.46883568	16.18239719	9.3962628	7.125921652	10.50508479	5.385040051	7.267023458	10.16657658
11.09444787	9.656809947	12.63804922	13.25313398	12.80281928	5.238117031	11.50736226	9.331863401	3.538213546	3.922990799	4.101532208	4.011135606	3.999881935	2.698806318	3.631236428	3.776980788	8.359490714	9.042265058	9.813428493	94.26481882	13.38453989	5.66991699	8.819914477	7.856108242	17.85533841	12.1965859	24.82497786	4193.695951	25.04759196	11.22748782	42.32224745	23.34561842	11.32180897	17.53396773	4.302036971	149.151678	15.78257291	2.673894622	19.46922851	23.246778	49.38863131	112.6826055	37.39522604	30.56500421	63.73858357	13.25444147	131.9825741	70.41323945	11.66828624	9.913614987	14.46544847	10.67123438	16.50799686	7.470731904	12.35619464	11.86000379	164.9224924	154.6406133	144.3228756	229.6943343	144.8682921	8.978158696	201.4692186	200.4456655	208.6145319	329.1569278	17.89157535	604.7185742	187.7449758	9.524605519	435.4827221	202.1108124	58.08239491	56.16952518	51.43744303	460.7878321	69.69420267	22.54516021	88.67316737	57.56201465	10.94484255	11.28131535	13.67756645	192.3260287	11.73047881	7.340629847	12.33301018	13.00677495	94.51646242	133.2938753	75.92935999	130.8034204	91.957654	38.86154296	112.6297388	80.69859564	12.67791478	6.37157731	10.63989665	10.00910208	10.61677933	4.352122314	8.24890466	9.403904927
6.539952211	5.99741237	7.077371758	6.577869986	4.802122284	0	2.226749458	5.781867756	2.456154785	2.588287204	2.891307138	1.560941634	2.478009433	0	1.937494148	2.040006021	2.860832312	4.423846778	6.743130498	132.4444004	4.197313114	0	1.998215104	2.804431828	64.89925997	8.84719951	10.07803695	1411.999693	10.9021271	0	204.0721091	46.96905572	3.463992427	5.767449962	2.781777309	37.48498442	4.447103274	0	4.089015893	9.351128487	20.19094348	35.30200946	19.29619432	8.549879114	19.94349443	0	11.32734919	18.31070296	2.750101222	5.309993816	9.315936831	2.21408014	3.165598131	0	0	2.872028375	1	26.98053778	36.7670995	1	1	1	1	1	25.9845794	86.27046402	9.932513906	157.0146327	16.39920843	2.447162044	123.7883668	85.25598747	0	14.95735031	37.18955734	122.0098205	0	0	15.15237909	24.09169266	7.499167989	7.760566928	10.60548428	87.70544635	3.570893394	0	1.900400457	2.923412187	79.80189088	226.7439555	25.39750482	110.5072247	1	1	159.9860272	60.39313444	3.759484603	3.657755152	7.348879133	4.785000955	3.055783979	0	1.603245098	1.180975947
40.30158141	33.70508421	16.66540644	21.85317076	22.46618501	6.478381506	65.22490876	18.36883709	3.424589433	4.891911112	4.161614291	2.653847113	3.62967954	1.283653242	4.867941148	2.949208685	6.118091411	10.02077922	6.9539637	44.49231027	6.529557175	1.628661147	4.675660662	4.18100179	615.9904508	2560.222547	4.487814983	1302.309523	184.0543869	0	2711.203255	544.7446856	8.117923322	16.74549527	4.011652665	39.05154004	11.97507312	2.107250939	20.62420933	21.40408781	969.6878178	865.9993799	466.3492308	390.4403493	774.9460833	140.9109971	1583.722811	538.1420894	4.882374128	9.810307798	10.00229992	5.193622164	17.86971196	2.577499614	11.5272781	4.501679317	134.9473339	153.0377478	37.12083583	89.08798666	150.6226776	1	141.9974018	1	148.0679894	275.546173	43.78642942	147.5143158	55.3089339	13.10229709	384.3161385	214.0937541	67.11678561	47.16555378	37.78918977	109.5951953	48.32429493	0	115.3684978	63.30834006	12.61876004	42.12852729	9.469455177	96.60371956	15.69606641	1.228071289	63.34271208	5.283063058	123.9272844	626	97.34018373	104.4874309	103.6785992	27.59858945	250.4361931	86.45309284	5.702386163	22.88949783	10.57825657	5.000988224	5.032494582	3.033903421	2.659356138	4.105372202
