Genes	module
2510039O18Rik	14.1
Abca2	14.1
Acad9	14.1
Ap5z1	14.1
Appl2	14.1
Arid2	14.1
Atp2c1	14.1
Avl9	14.1
Camk1d	14.1
Ccrn4l	14.1
Ccz1	14.1
Copb2	14.1
Cstf1	14.1
Dtx3	14.1
Ep300	14.1
F630111L10Rik	14.1
Hnrpdl	14.1
Mbd1	14.1
Mfsd5	14.1
Mgrn1	14.1
Mrpl10	14.1
Nde1	14.1
Ndufaf5	14.1
Oma1	14.1
Pitpnb	14.1
Ppp2r1b	14.1
Psme4	14.1
Ring1	14.1
Riok3	14.1
Scml4	14.1
Sidt1	14.1
Slc50a1	14.1
Smarca4	14.1
Smn1	14.1
Tlk1	14.1
Tmem8	14.1
Trappc11	14.1
Ubap2	14.1
Ugcg	14.1
Vps26a	14.1
Zfp212	14.1
Cd74	15.2
Gm13826	15.2
Gm1821	15.2
Gm6654	15.2
Ly6e	15.2
Ptma	15.2
Rpl17	15.2
Rpl22	15.2
Rpl32	15.2
Rpl36a	15.2
Rpl37	15.2
Rpl39	15.2
Rps13	15.2
Rps14	15.2
Rps15a	15.2
Rps16	15.2
Rps21	15.2
Rps26	15.2
Rps27a	15.2
Rps29	15.2
Tmsb10	15.2
Tmsb4x	15.2
Abi3	16.2
Ankrd13a	16.2
Apbb1ip	16.2
Atp5a1	16.2
Atp5g2	16.2
Dennd2d	16.2
Dynlrb1	16.2
Eef1d	16.2
Igfbp4	16.2
Itgal	16.2
Laptm4a	16.2
Msn	16.2
Npc2	16.2
Peli1	16.2
Ppp2r4	16.2
Rbck1	16.2
Stxbp2	16.2
Tmed9	16.2
Tnks2	16.2
Trim30a	16.2
Ywhah	16.2
0610030E20Rik	17.1
4933434E20Rik	17.1
Acd	17.1
Anapc16	17.1
Bloc1s1	17.1
Brd1	17.1
Bud31	17.1
Calm2	17.1
Ccdc23	17.1
Cd5	17.1
Cdk4	17.1
Cherp	17.1
Cmah	17.1
Cnih	17.1
Cs	17.1
Dcaf8	17.1
Ddx49	17.1
Ehd1	17.1
Ergic2	17.1
Fgfr1op2	17.1
Foxj3	17.1
Foxp4	17.1
Gemin7	17.1
Glud1	17.1
Gng5	17.1
Hdgfrp2	17.1
Hectd1	17.1
Il10ra	17.1
Irf2bp2	17.1
Itgb1bp1	17.1
Mia3	17.1
Mrps34	17.1
Myl12b	17.1
Ncaph2	17.1
Nfyc	17.1
Panx1	17.1
Pdhb	17.1
Pitpnm1	17.1
Polr2f	17.1
Ppig	17.1
Prkd2	17.1
Psenen	17.1
Psmd13	17.1
Pten	17.1
Ptplad1	17.1
Pygo2	17.1
Rnf4	17.1
Sae1	17.1
Sdha	17.1
Slc25a3	17.1
Sp110	17.1
Synrg	17.1
Sys1	17.1
Tfeb	17.1
Tmem14c	17.1
Uqcr11	17.1
Utp3	17.1
Wapal	17.1
Zc3h18	17.1
Zfp120	17.1
1200014J11Rik	17.2
2210013O21Rik	17.2
Ahcyl2	17.2
Akap12	17.2
Ankmy2	17.2
Anpep	17.2
Asb6	17.2
Ash1l	17.2
Atf6	17.2
Casp8ap2	17.2
Ccdc112	17.2
Cd99l2	17.2
Cep120	17.2
Chst1	17.2
Clic5	17.2
Cln8	17.2
Ctbp2	17.2
Cyp2d22	17.2
Ddx10	17.2
Elp5	17.2
Eme2	17.2
Faf1	17.2
Fam118b	17.2
Fam53a	17.2
Fancg	17.2
Fas	17.2
Fto	17.2
Gmppa	17.2
Golt1b	17.2
Gosr2	17.2
Grlf1	17.2
Hdc	17.2
Heatr3	17.2
Hic1	17.2
Hip1	17.2
Isoc2b	17.2
Itm2a	17.2
Kat2b	17.2
Kti12	17.2
Ltc4s	17.2
Maml3	17.2
Mettl22	17.2
Mgll	17.2
Mrvi1	17.2
Nsun4	17.2
Otud3	17.2
Pacsin2	17.2
Pelo	17.2
Phf21b	17.2
Pogz	17.2
Polk	17.2
Prcc	17.2
Prss16	17.2
Rabep1	17.2
Reln	17.2
Rnf166	17.2
Rufy1	17.2
Scarb2	17.2
Sco1	17.2
Serhl	17.2
Sfrp1	17.2
Sirpa	17.2
Slc16a5	17.2
Spsb3	17.2
Ssh3	17.2
Stx18	17.2
Swsap1	17.2
Tmem126a	17.2
Trappc13	17.2
Ube2f	17.2
Vgll4	17.2
Wars2	17.2
Zfp191	17.2
Zfp568	17.2
1110008P14Rik	18.1
Adss	18.1
Ap1m1	18.1
Ap2m1	18.1
BC031181	18.1
Btk	18.1
Camk2d	18.1
Cdk2ap2	18.1
Cln3	18.1
Commd3	18.1
Cr1l	18.1
Csnk1a1	18.1
Csnk1g2	18.1
Dcaf12	18.1
Ddx42	18.1
Dopey2	18.1
Edem1	18.1
Eif2s1	18.1
Fam105b	18.1
Gga2	18.1
H2-Oa	18.1
H2afx	18.1
Hmox2	18.1
Hnrnpm	18.1
Hpcal1	18.1
Klhdc3	18.1
Lamtor2	18.1
Lrrc33	18.1
Map1lc3b	18.1
Med13l	18.1
Mob4	18.1
Mrpl20	18.1
Mrpl41	18.1
Mrpl52	18.1
Myd88	18.1
Naa50	18.1
Nptn	18.1
Nudc	18.1
Orai1	18.1
Phf17	18.1
Pld4	18.1
Prmt3	18.1
Rad23a	18.1
Ralgps2	18.1
Reep3	18.1
Rpp21	18.1
Rras2	18.1
Rtfdc1	18.1
Ssbp3	18.1
Sugt1	18.1
Tpd52l2	18.1
Tra2a	18.1
Trim44	18.1
Ube2l3	18.1
Vdac3	18.1
Yipf3	18.1
Zfp871	18.1
Zkscan3	18.1
1700123O20Rik	18.2
Abhd8	18.2
Abr	18.2
Alyref	18.2
Ammecr1l	18.2
Anxa4	18.2
Atp1b1	18.2
BC051537	18.2
Bet1	18.2
Caprin2	18.2
Ccdc90a	18.2
Cd200	18.2
Cdc6	18.2
Cog8	18.2
Ddx55	18.2
Fam167a	18.2
Flywch1	18.2
Gigyf2	18.2
Gm20257	18.2
Gm4636	18.2
Golph3	18.2
Gse1	18.2
Gtf2b	18.2
Ids	18.2
Il11ra1	18.2
Ing4	18.2
Inpp5f	18.2
Itgb3	18.2
Jagn1	18.2
Limk2	18.2
Metap1d	18.2
Myh10	18.2
Myl6b	18.2
Neurl4	18.2
Noc2l	18.2
Nploc4	18.2
Nsmaf	18.2
Pgd	18.2
Phxr4	18.2
Pno1	18.2
Polr1b	18.2
Prkaa1	18.2
Prosc	18.2
Ptpre	18.2
Rab9	18.2
Rbm26	18.2
Rgs12	18.2
Sdad1	18.2
Senp5	18.2
