mouse_id	IL.1a_Bacillus S.	IL.1a_Bacteroides V.	IL.1a_Candida A.	IL.1a_CD3/CD28	IL.1a_Clostridium P.	IL.1a_PBS	IL.1a_Pseudomonas A.	IL.1a_Staph A.	IL.5_Bacillus S.	IL.5_Bacteroides V.	IL.5_Candida A.	IL.5_CD3/CD28	IL.5_Clostridium P.	IL.5_PBS	IL.5_Pseudomonas A.	IL.5_Staph A.	IFN.y_Bacillus S.	IFN.y_Bacteroides V.	IFN.y_Candida A.	IFN.y_CD3/CD28	IFN.y_Clostridium P.	IFN.y_PBS	IFN.y_Pseudomonas A.	IFN.y_Staph A.	TNF.a_Bacillus S.	TNF.a_Bacteroides V.	TNF.a_Candida A.	TNF.a_CD3/CD28	TNF.a_Clostridium P.	TNF.a_PBS	TNF.a_Pseudomonas A.	TNF.a_Staph A.	KC_CXCL1_Bacillus S.	KC_CXCL1_Bacteroides V.	KC_CXCL1_Candida A.	KC_CXCL1_CD3/CD28	KC_CXCL1_Clostridium P.	KC_CXCL1_PBS	KC_CXCL1_Pseudomonas A.	KC_CXCL1_Staph A.	MCP.1_CCL2_Bacillus S.	MCP.1_CCL2_Bacteroides V.	MCP.1_CCL2_Candida A.	MCP.1_CCL2_CD3/CD28	MCP.1_CCL2_Clostridium P.	MCP.1_CCL2_PBS	MCP.1_CCL2_Pseudomonas A.	MCP.1_CCL2_Staph A.	IL.1b_Bacillus S.	IL.1b_Bacteroides V.	IL.1b_Candida A.	IL.1b_CD3/CD28	IL.1b_Clostridium P.	IL.1b_PBS	IL.1b_Pseudomonas A.	IL.1b_Staph A.	IL.10_Bacillus S.	IL.10_Bacteroides V.	IL.10_Candida A.	IL.10_CD3/CD28	IL.10_Clostridium P.	IL.10_PBS	IL.10_Pseudomonas A.	IL.10_Staph A.	MIP.1a_CCL3_Bacillus S.	MIP.1a_CCL3_Bacteroides V.	MIP.1a_CCL3_Candida A.	MIP.1a_CCL3_CD3/CD28	MIP.1a_CCL3_Clostridium P.	MIP.1a_CCL3_PBS	MIP.1a_CCL3_Pseudomonas A.	MIP.1a_CCL3_Staph A.	MIP.1b_CCL4_Bacillus S.	MIP.1b_CCL4_Bacteroides V.	MIP.1b_CCL4_Candida A.	MIP.1b_CCL4_CD3/CD28	MIP.1b_CCL4_Clostridium P.	MIP.1b_CCL4_PBS	MIP.1b_CCL4_Pseudomonas A.	MIP.1b_CCL4_Staph A.	IL.17_Bacillus S.	IL.17_Bacteroides V.	IL.17_Candida A.	IL.17_CD3/CD28	IL.17_Clostridium P.	IL.17_PBS	IL.17_Pseudomonas A.	IL.17_Staph A.	IL.6_Bacillus S.	IL.6_Bacteroides V.	IL.6_Candida A.	IL.6_CD3/CD28	IL.6_Clostridium P.	IL.6_PBS	IL.6_Pseudomonas A.	IL.6_Staph A.	IL.13_Bacillus S.	IL.13_Bacteroides V.	IL.13_Candida A.	IL.13_CD3/CD28	IL.13_Clostridium P.	IL.13_PBS	IL.13_Pseudomonas A.	IL.13_Staph A.
515753	1.07	2.38	2.21	0	2.29	0	3.57	0.86	2.6	7.91	7.16	14.83	3.67	0	3.73	0	17.59	97.7	12.11	1147	102.17	0	2645	154.54	9.37	43.4	6.61	8.82	30.22	0.62	27.47	45.81	663.81	1001	78.8	33.93	651.11	5.85	937.73	1203	28.17	14.11	11.63	8.3	17.06	0	15.08	22.37	10.26	12.94	8.48	3.84	10.47	0	4.14	5.94	0	0	61.2	0	0	0	0	0	227.99	634.39	47.05	92.71	157.97	15.67	386.56	364.51	42.29	0	30.2	129.72	64.98	2.16	103.24	138.14	0	47.47	4.19	166.85	7.24	0	30.99	8.53	77.06	217.17	17.08	247.51	292.97	0	419.06	45.43	4.4	0	5.94	2.92	15.2	0	5.94	0
515757	0	0	2.34	0	1.41	0	1.82	2.66	14.52	99.83	9.06	15.14	5.05	1.9	6.65	4.72	0	10.6	11.74	14.73	2.34	0	25.16	12.91	0	0	2.53	0	38.02	0.8	11.33	9.45	847.53	414.34	45.9	34.95	722.16	16.37	0	138.87	19.26	0	11.2	19.6	13.48	3.12	29.76	9.11	15.19	14.24	16.63	10.17	15.18	2.31	2.9	9.4	65.02	0	71.08	0	0	0	0	0	118.17	56.08	29.52	7.94	0	6.05	149.29	32.36	0	139.1	0	1.02	0	1.14	0	19.17	0	0	6.49	4.61	15.8	2.31	0	10.64	0	0	15.72	0	0	0	40.08	0	0	0	7.38	3.46	15.48	0	0	2.25
59-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.32	479.3	0	1533	0	0	362.47	86.68	5.46	13.56	1.75	24.39	15.74	0	9.95	16.68	27.52	48.43	0	0	15.56	0	20.59	8.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.58	0	7.92	0	0	0	55.13	89.68	2.87	159.99	27.19	0	99.45	61.61	18.09	17.03	27.51	43.96	7	0	15.85	18.34	0	0	0	10.3	0	0	0	0	17.96	92	0	0	2.31	0	16.53	14.66	0	0	0	0	0	0	2.51	0
59-2	0	0	0	0	0	0	0	0	0	0	0	2.98	0	1.61	0	1.2	118.19	113.85	0	241.13	0	0	17.29	75.14	5.87	7.3	3.91	25.45	17.94	0	8.56	15.71	38.79	58.63	10.71	14.16	70.98	2.59	124.73	83.51	0	0	0	0	0	0	0	7.77	0	0	0	2.17	0	0	0	0	5.45	0	28.92	19.67	0	0	0	8.21	86.7	106.19	11.36	84.42	41.43	0	114.5	69.53	13.42	22.82	0	49.01	5.05	6.55	23.44	13.94	16.4	0	0	30.25	0	0	0	4.85	17.77	137.57	0	12.13	3.75	0	43.41	35.61	0	4.32	2.85	3.51	0	0	2.95	4.6
59-3	0	0	0	0	0	0	0	0	0	0	0	14.34	1.6	0	0	0	0	337.49	0	435.5	131.9	0	1676	58.48	0	8.83	0	34.87	11.29	0	16.71	20.86	0	75.66	2.92	16.89	56.64	0	121.19	70.61	0	0	0	5.82	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85	0	0	8.02	0	0	5.12	15.08	151.67	5.36	135.3	33.83	0	147.75	54.39	0	25.05	0	64.02	8.23	0	52.74	19.3	0	0	0	23.13	0	0	0	0	0	175.99	0	21.11	7.28	0	69.46	34.01	0	3.22	3.09	5.01	3.26	0	5.77	2.99
59-4	0	0	0	0	0	6.77	0	0	4.92	1.13	0	23.11	0	24.19	0	0	125.71	606.18	0	1422	344	127.56	1154	914.09	8.03	7.94	1.66	42.44	12.71	15.26	9.21	18.36	37.43	44.75	0	14.07	24.36	83.09	45.77	21.02	9.7	0	0	0	0	34.13	0	0	5.82	12.91	0	0	0	38.62	0	0	12.07	9.47	0	0	0	117.03	0	0	146.67	150.29	1.79	199.22	51.19	47.63	149.05	92.83	55.99	49.86	0	110.36	19.79	109.67	41.69	43.92	1.82	0	0	92.06	0	19.52	0	0	40.04	232.47	0	26.76	28.63	32.81	106.13	24.99	4.96	4.18	0	5.82	5.17	15.33	0	4.65
59-5	0	0	0	0	0	0	0	0	0	0	0	1.05	0	2.86	0	0	9.18	950.53	0	342.41	0	0	1062	19.74	8.17	15.7	2.06	23.68	20.99	0	12.4	18.38	83.04	120.38	6.79	22.68	72.32	3.16	188.16	108.35	0	6.96	0	0	0	0	4.79	5.08	13.94	0	0	3.24	6.58	0	5.28	0	7.45	13.12	0	7.42	7.94	0	9.07	10.05	64.12	158.46	8.81	120.62	28.89	0	114.79	67.49	23.18	43.21	0	54.5	13.48	4.74	25.97	0	9.92	0	0	38.39	0	0	0	0	27.69	195.51	4.8	6.6	8.8	1.76	100.3	48.79	2.63	4.64	0	0	5.65	2.61	3.65	8.49
61-1	1.15	4.26	0.91	0.62	0.36	0	2.43	1.26	2.4	7.1	3.64	14.95	2.46	0	1.9	2	6.22	1032	17.9	314.12	29.19	5.84	3324	28.4	7.5	43.55	5.67	62.79	35.7	0	48.5	31.03	30.53	123.18	23.74	7.96	35.37	0	108.2	49.04	12.44	16.58	14.37	9.59	7.98	0	12.9	15.49	11.41	7.59	2.48	0	5.38	2.16	2.04	7.6	149.97	241.43	148.41	0	0	0	0	31.12	75.38	239.76	26.8	192.26	41.05	9.67	214.66	74.36	14.25	21.58	27.44	67.29	12.77	13.26	24.19	16.29	0	1.69	4.24	28.07	3.58	5.48	0	2.41	38.42	325.84	11.39	40.5	0	0	151.01	12.33	4.07	8.77	0	0	4.13	0	4.05	4.7
61-2	0.95	3.68	1.96	0.61	1.07	0	2.63	0	5.47	6.66	9.47	46.2	8	0	3.34	0	448.42	10028	17.97	678.81	979.33	7.66	8028	207.53	15.62	45.04	6.53	64.75	42.06	0	43.36	27.9	136.08	302.51	28	13.62	166.87	2.96	261.44	125.54	19.04	21.47	17.89	9.61	18.56	2.83	10.09	8.06	0	3.22	4.4	2.45	2.6	0	1.69	0	0	316.92	0	111.27	0	0	56.35	0	181.84	359.48	32.86	200.22	84.79	5.81	337.36	123.78	22.86	61.49	13.63	80.35	16.73	7.67	55.06	8.96	3.44	16.78	6.33	99.82	9.04	0	13.43	1.55	109.27	678.94	5.93	44.65	43.66	0	384.48	40.89	5.75	12.84	3.68	4.06	6.74	0	0	0
61-3	1.27	1.29	2.34	0.79	0	0	2.61	0	9.62	2.72	9.29	105.39	1.87	0	3.02	1.65	716.77	5718	12.51	1395	1385	6.12	0	992.15	18.85	45.89	7.26	72.98	37.91	0	33.12	41.6	107.44	220.99	20.85	13.35	65	5.51	128.36	99.43	18.81	11.93	11.28	6.98	10.54	0	3.46	10.72	5.24	6.71	5.12	2	1.55	1.66	3	3.68	358.41	178.85	155.01	160.6	0	0	74.39	167.46	264.09	299.81	38.5	210.67	86.41	17.61	252.05	202.63	53.59	72.04	17.79	94.47	17.67	7.24	49.9	36.95	18.01	10.17	9.56	232.95	19.15	0	10.09	5.31	129.71	673.28	16	50.35	12.19	0	404.2	69.44	9.41	4.2	10.58	4.88	3.74	0	0	3.94
61-4	1.92	4.14	1.99	0.8	0.94	0.33	9.65	0.87	0	1.13	11.02	23.81	0	0	0	1.41	3547	0	26.6	0	693.57	4.22	0	3461	43.08	107.76	35.86	106.73	25.7	1.1	69.6	177.61	51.45	209.58	50.31	8.59	12.49	2.15	84.56	147.18	44.77	33.67	10.74	8.77	9.44	0	6.38	24.34	0	0	12.45	0	0	0	5.68	5.99	0	334.17	0	0	0	0	221.13	143.48	327.29	390.52	109.99	497.18	60.22	35.54	355.68	231.77	70.21	112.45	12.17	196.89	8.58	9.62	80.44	86.67	104.22	16.26	17.91	163.8	6.6	0	116.01	9.41	136.68	913.58	0	51.5	32.39	0	525.57	192.84	4.59	4.17	3.79	3.29	0	0	5.7	7.52
66-1	0	0	0	0	0	0	0	0	4.06	2.02	0	8.09	2.28	1.6	0	1.39	54.3	1496	6.75	720.16	95.9	7.06	314.6	58.57	8.91	19.04	4.77	24.71	20.08	1.51	11.43	12.45	41.92	72.94	13.22	4.04	42.68	11.28	44.38	29.25	3.32	0	0	0	5.47	3.71	5.08	6.67	7.13	20.96	14.89	0	7.25	11.1	12.2	0	21.08	56.39	18.01	7.16	41.99	5.52	9.43	13.51	109.34	142.01	19.67	200.08	44.68	6.27	112.44	66.96	16.86	44.22	14.83	60.79	39.07	17.13	12.41	28.18	0	13.36	0	83.03	0	0	0	0	30.84	306.04	0	21.83	3.6	7.69	107.54	7.35	10.54	0	0	9.97	7.01	7.38	6.73	7.71
66-2	0	0	0	0	0	0	0	0	1.86	3.06	2.5	11.4	3.48	2.27	1.25	0	15.1	1608	6.75	694.28	84.69	4.13	1125	50.27	5.5	13.72	2.24	30.4	11.85	0	14.54	16.61	44.02	66.35	15.38	14.25	46.35	18.39	64.03	40.04	3.48	10.71	0	0	7.45	7.27	0	10.52	1.8	0	0	0	6.18	8.4	0	0	4.81	21.6	0	6.2	11.88	9.8	7.24	0	75.6	83.92	12.48	153.75	40.45	3.84	157.78	88.92	26.73	2.66	18.42	33.43	22.78	3.72	39.68	31.8	0	2.97	0	84.29	0	0	0	0	12.26	312.5	4.04	150.3	18.82	0	117.96	14.16	3.23	4.4	3.97	7.11	6.55	4.67	5.17	0
66-3	0	0	0	0	1.81	0	3.08	0	7.92	10.79	0	22.43	2.76	0	3.24	0	82.55	0	0	1894	161.31	5.56	343.58	192.29	10.07	0	2.15	39.16	6.7	0	7.6	15.59	68.49	0	10.73	19.37	20.86	6.67	34.95	25.02	16.52	0	6.92	10.12	0	0	10.73	14.36	25.69	20.8	4.1	5.95	19.45	4.96	17.34	2.7	24.85	30.8	9.96	17.05	48.29	5.74	11.24	11.8	141.19	182.9	0	310.94	21.08	2.76	121.74	102.64	61.14	0	9.62	114.24	7.86	3.59	47.58	39.35	13.66	0	0	164.59	0	0	4.38	0	47.31	460.6	0	25.86	11.22	0	160.76	15.5	6.74	9.45	6.9	8.97	11.76	5.99	7.31	8.18
66-4	0	0	1.57	2.02	0	0	1.87	0	5.6	5.73	4.23	6.59	0	0	7.85	0	12.94	0	23.67	390.22	6.62	0	576.87	0	3.87	2.44	2.45	26.62	6.55	0	15.36	6.71	30.83	18.35	25.82	27.25	43.11	5.75	87.82	28.11	7.09	0	14.49	4.79	0	0	14.45	4.97	0	24.96	9.5	13.99	0	0	19.48	0	9.46	26.3	12.68	16.91	8.98	0	27.56	9.18	41.96	20.89	0	102.13	13	0	226	45.28	17.4	15.06	16.37	42.62	41.39	4.25	46.09	0	0	0	0	38.5	0	0	50.52	3	13.22	42.87	5.93	27.02	3.24	0	41.97	6.47	3.07	12.29	6.18	6.22	0	0	8.99	5.01
66-5	1.54	0	0	0	0	1.19	0	0	3.1	0	0	14.92	5.02	5.5	4.05	9.97	171.67	10.73	3.69	936.76	22.11	13.4	6994	65.6	11.54	0	0	38.6	13.95	2.15	29.38	69.05	65.01	12.11	16.91	27.39	68.27	26.48	116.85	24.98	15.41	0	0	8.64	11.18	11.49	0	13.34	11.26	0	10.28	8.85	0	0	0	0	41.26	0	15.54	19.58	14.65	0	15.15	26.85	107.71	0	3.07	220.16	39.19	0	171.79	145.14	40.18	0	0	93.54	22.82	10.88	57.07	57.99	0	3.83	0	116.3	0	0	23.48	0	43.07	6.45	0	23.37	6.87	5.17	151.58	18.06	9.89	5.19	3.12	10.42	3.63	4.52	8.38	7
71-3	0	0	0	0	0	0	0	0	0	0	0	1.45	0	0	0	0	5.56	89.21	0	231.51	0	0	0	9.23	0	2.52	0	9.94	2.31	0	0	3.56	2.96	8.94	0	2.13	4.6	0	0	2.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.15	42.82	3.1	103.83	7.9	0	19	10.57	0	4.69	0	28.03	0	0	0	0	0	0	0	26.25	0	0	0	0	3.64	34.8	0	3.51	1.11	0	0.99	1.02	0	0	0	0	0	0	0	0
71-6	1.78	0	0	0	0	0	1.33	0	2.49	0	0	0	0	0	0	0	24.86	5.38	0	99.22	2.63	0	774.39	7.56	8.64	4.81	0	6.8	4.22	0	8.58	46.46	258.64	203.06	3.71	2.77	44.24	9.54	509.62	275.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.14	0	339.6	0	0	0	0	0	0	51.51	545	80.93	5.77	27.17	19.48	9.92	2885	6355	325.18	4.19	0	6.36	2.87	7.54	0	26.54	0	0	0	3.69	0	0	0	0	286.3	69.52	1.26	1.28	5.15	0	0	1218	0	0	0	0	0	0	0	0
71-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.93	0	60.94	0	0	0	0	0	0	0	3.45	0	0	0	1.89	27.72	100.97	0	0	21.01	0	45.18	16.45	3.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.8	35.64	3.27	19.49	9.56	0	10.91	11.26	0	0	0	0	0	0	0	0	0	0	0	22.86	0	0	0	0	4.67	74.56	0	5.2	0	0	2.38	0	0	0	0	0	0	0	0	0
71-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.76	0	112.49	0	0	0	0	0	1.42	0	4.1	1.69	0	0	2.42	6.57	29.07	0	2.51	12.55	0	14.76	2.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.63	39.8	3.11	15.59	11.09	0	16.69	17.9	0	0	0	8.76	0	0	0	0	0	0	0	6.32	0	0	0	0	0	53.04	0	0	2.37	0	3.31	2.2	0	0	0	0	0	0	0	0
71-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83	263.59	0	312.36	0	0	48.85	192.94	0	3.14	0	5.79	3.98	0	0	5.74	0	7.82	0	0	2.24	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.84	63.99	3.11	63.9	9.7	0	15.89	20.97	0	3.07	0	5.03	0	0	0	4.87	0	0	0	36.59	0	0	0	3.56	1.3	75.24	0	1.58	1.51	0	1.17	4.76	0	0	0	0	0	0	0	0
76-1	2.17	0	0	3.07	0	3.28	4.39	0	10.85	0	0	20.29	0	16.78	0	10.18	8.47	123.14	0	607.39	5.83	5.27	15.79	13.44	4.2	7.76	5.95	38.47	9.49	4.84	11.43	12.65	17.45	22.9	0	10.97	12.34	23.45	30.5	18.56	13.31	4.95	16.8	20.26	14.04	27.19	29.74	20.9	19.29	0	16.2	0	0	47.4	27.46	0	39.89	0	61.86	72.03	0	122.67	155.84	2.73	52.95	100.47	0	149.71	15.94	20.19	50.66	48.82	29.68	9.98	9.87	19.92	0	37.46	251.67	18.01	16.6	0	0	73.63	0	31.07	18.41	0	23.39	88.8	0	17.21	14.76	28.17	49.69	15.96	0	0	0	2.46	0	5.37	7.38	0
76-2	0	0	0	1.95	0	7.98	1.97	2.21	0	0	0	31.46	4.94	32.37	13.02	10.39	77.4	6.81	2.56	276.13	13.87	38.23	0	506.71	8.18	15.41	0	37.38	20.94	9.52	9.62	47.87	43.65	65	8.95	14.85	49.68	44.7	28.63	38.32	14.01	9.77	6.12	19.84	12.19	32.57	25.47	20.86	0	0	0	7.51	0	36.35	20.6	7.45	20.1	0	0	35.62	135.12	144.69	55.94	38.49	97.81	130.71	0	64.43	53.06	36.27	134.94	105.94	9.69	9.68	0	35.21	24.1	26.91	29.75	29.07	0	0	0	172.43	0	33.41	14.76	0	23.9	132.32	0	36.52	57.5	35.05	45.71	40.69	0	0	0	4.91	0	9.17	0	4.37
76-3	0	0	0	1.75	0	6.35	4.35	3.08	3.47	0	0	33.45	6.65	30.73	14.67	14.44	53.91	1295	0	312.23	27.85	23.37	26.51	513.21	10.69	36.03	0	40.97	18.74	7.33	19.75	48.73	49.33	126.47	3.66	12.96	59.76	48.88	105.7	74.15	25.82	18.46	0	21.99	15.88	22.59	23.17	26.99	17.58	0	0	0	0	18.14	24.2	0	53.31	5.01	9.74	0	30.51	97.02	52.22	17.73	131.59	176.21	0	144.61	54.47	25.18	261.98	141.35	41.06	15.33	0	75.01	11.37	30.76	44.11	31.86	0	0	0	65.64	0	17.27	0	0	43.15	192.79	0	42.27	16.12	27.84	119.54	36.93	0	0	0	0	3.46	12.52	3.74	0
76-4	8.22	0	0	2.58	3.61	2.45	0	3.12	22.57	0	0	21.28	15.34	22.2	20.37	17.87	307.58	2866	0	412.95	80.32	16.06	2848	46.55	4.61	34.08	0	36.14	26.22	6.29	15.9	3.11	0	109.88	2.84	17.76	57.61	18.77	35.41	14.22	23.04	11.42	0	16.59	22.95	26.18	14.36	12.43	0	0	0	0	33.01	16.88	0	2.37	34.68	19.51	0	58.28	463.61	135.97	6.52	34.51	124.14	183.77	4.05	137.87	85.13	18.53	191.71	6.87	33.76	20.48	0	80.37	16.37	33.76	16.38	7.13	30.71	0	0	2.96	15.52	4.7	24.06	0	51.51	207.36	3.9	21.36	99.99	40.66	99.43	14.71	10.13	0	0	0	0	7.15	8.22	2.76
76-5	0	0	0	3.05	0	0	4.47	3.24	7.1	4.2	0	21.9	8.59	18.42	11.41	13.22	17.95	650.9	0	486.22	18.67	18.97	644.28	24.28	4.14	20.51	0	35.59	21.66	4.04	17.93	4.36	16.12	72.43	4.14	19.1	37.94	20.81	48.23	11.82	26.49	0	0	23.14	19.65	22.26	28.37	20.24	15.12	0	0	22.78	0	26.32	0	17.07	64.4	0	0	79.73	0	81.66	56.57	32.92	177.63	144.91	0	110.46	77.15	13.42	96.87	12	77.02	6.96	0	61.79	15.29	17.23	11.95	11.23	0	0	0	59.07	26.6	0	0	0	26.71	214.4	0	38.84	180.89	28.52	59.21	5.28	4.32	0	0	0	9.21	8.01	0	3.8
78-84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	852.22	0	0	509.01	0	0	13.79	0	1.93	2.83	0	43.97	1.26	0	2.38	1.14	6.25	17.55	3.18	0	0	0	19.91	0.74	4.07	0	4.64	0	0	0	4.64	0	0	0	4.4	0	0	0	0	0	0	0	173.74	0	0	0	0	0	31.61	65.02	8.03	191.02	3.19	0	38.79	30.39	7.33	4.86	0	54.17	6.34	3.88	6.65	4.65	0	0	6.16	48.3	0	0	0	0	40.64	371.56	0	0	0	0	40.98	0	0	0	5.22	0	0	0	0	0
78-85	0	0	0	0	0	0	0	0.45	0	0	0	4.25	0	0	0	0	0	0	0	1134	0	0	0	7.83	2.47	5.65	0	77.14	1.38	0	2.74	5.51	3.37	26.17	0.64	0	0	0	9.21	0	0	5.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.12	89.9	8.7	237.73	9.35	4.55	55.09	50.05	8.72	14.07	4.9	30.61	5.13	0	8.15	5.5	2.77	0	5.48	202.77	1.91	0	0	0	11.7	285.2	0	0	0	0	11.57	0	0	3.14	0	0	0	0	0	0
86-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.58	3.13	364.27	2.55	0	3.58	53.16	0	0	0	15.15	4.69	0	0	3.96	27.73	29.21	3.78	8.29	43.52	2.65	69.12	42.47	0	0	0	0.88	0.87	0	1.75	0	0	0	1.73	0	0	0	0	0	0	0	0	0	0	0	0	0	18.93	29.69	3.67	46.66	17.03	0	17.84	22.15	3.39	3.29	9.3	9.75	8.45	0	0	0	0	0	2.67	23.77	0	0	0	3.29	2.58	35.62	2.5	3.02	2.8	0	3.1	0	0	0	1.12	0.66	1.49	0	0	0.92
86-6	0	0	0	0	0	0	0	0	0	0	0	1.61	0	0	0	0	68.23	720.19	3.08	489.57	157.8	0	16.97	63.52	0	5.33	0	14.24	5.57	0	2.6	6.92	11.38	64.22	2.39	3.04	11.53	0	27.29	7.69	0	3.6	0	0	1.18	0	2.18	1.07	0	0	0	1.82	0	0	1.94	0	0	0	0	0	23.69	0	0	0	27.56	113.26	6.21	48.08	19.46	0	51.12	31.76	0	15.46	4.38	15.33	10.88	0	13.07	9.02	0	0	0	28.98	0	0	0	0	8.83	160.42	0	7.29	7.52	0	10.4	1.39	0	1.14	0	0	0	0	1.03	0
86-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412.07	27	0	978.21	3.62	0	0	110.77	1.39	3.02	0	10.62	2.69	0	0	3.9	9.61	22.06	0	2.7	5.49	0	7.96	8.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.9	76.08	3.68	41.8	12.57	0	24.56	24.82	7.35	4.66	3.37	12.42	2.86	0	0	4.03	0	0	0	12.2	0	0	0	0	3.94	30.37	1.08	2.54	1.58	0	0	2.73	1.33	0	0	0	0	0	0	0
86-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.19	0	3.14	519.51	0	0	11.5	22.67	1.38	0	0	11.35	0	0	0	3.52	14.84	0	2.95	2.09	2.12	0	5.98	9.95	0	0	0.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.72	0	5	52.3	4.32	0	23.42	15.63	5.3	0	4.01	16.82	0	0	8.16	0	0	0	0	30.21	0	0	0	0	6.93	0	1.29	3.45	0	0	5.24	1.79	0.59	0	0	0	0	0	0	0
86-9	1.1	0	0	0	0	0	0	0	1.41	0	0	0	0	0	0	0	36.53	172.41	3.11	370.01	0	0	7.4	96.37	8.16	6.74	0	7.99	5.29	0	2.56	7.81	44.46	40.33	0	2.3	12.42	0	8.54	5.63	7.51	1.55	0	0	0	0	0	0	6.54	0	0	0	1.95	0	0	0	245.13	0	0	0	0	0	0	0	174.27	158.84	3.79	53.59	25.92	0	55.25	35.57	66.94	11.48	0	12.83	10.2	0	4.93	2.76	4.83	2.27	0	36.53	0	0	0	0	12.69	45.61	0	2.55	3.57	0	6.3	2.08	5.01	0	0	0	0	0	0	0
unk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253.62	0	618.43	54.95	0	1181	24.39	3.94	25.81	2.27	3.99	34.02	0	18.89	19.5	53.65	174.3	0	0	48.11	0	93.43	25.55	0	2.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.77	345.44	9.25	17.2	90.16	11.47	287.83	90.18	0	37.23	0	0	0	0	75.03	12.4	0	0	0	2.89	0	0	0	0	6.47	361.81	0	0	2.46	0	236.43	9.65	0	0	0	0	0	0	0	0
