mouse_id	IL.1a_Bacillus S.	IL.1a_Bacteroides V.	IL.1a_Candida A.	IL.1a_CD3/CD28	IL.1a_Clostridium P.	IL.1a_PBS	IL.1a_Pseudomonas A.	IL.1a_Staph A.	IL.5_Bacillus S.	IL.5_Bacteroides V.	IL.5_Candida A.	IL.5_CD3/CD28	IL.5_Clostridium P.	IL.5_PBS	IL.5_Pseudomonas A.	IL.5_Staph A.	IFN.y_Bacillus S.	IFN.y_Bacteroides V.	IFN.y_Candida A.	IFN.y_CD3/CD28	IFN.y_Clostridium P.	IFN.y_PBS	IFN.y_Pseudomonas A.	IFN.y_Staph A.	TNF.a_Bacillus S.	TNF.a_Bacteroides V.	TNF.a_Candida A.	TNF.a_CD3/CD28	TNF.a_Clostridium P.	TNF.a_PBS	TNF.a_Pseudomonas A.	TNF.a_Staph A.	KC_CXCL1_Bacillus S.	KC_CXCL1_Bacteroides V.	KC_CXCL1_Candida A.	KC_CXCL1_CD3/CD28	KC_CXCL1_Clostridium P.	KC_CXCL1_PBS	KC_CXCL1_Pseudomonas A.	KC_CXCL1_Staph A.	MCP.1_CCL2_Bacillus S.	MCP.1_CCL2_Bacteroides V.	MCP.1_CCL2_Candida A.	MCP.1_CCL2_CD3/CD28	MCP.1_CCL2_Clostridium P.	MCP.1_CCL2_PBS	MCP.1_CCL2_Pseudomonas A.	MCP.1_CCL2_Staph A.	IL.1b_Bacillus S.	IL.1b_Bacteroides V.	IL.1b_Candida A.	IL.1b_CD3/CD28	IL.1b_Clostridium P.	IL.1b_PBS	IL.1b_Pseudomonas A.	IL.1b_Staph A.	IL.10_Bacillus S.	IL.10_Bacteroides V.	IL.10_Candida A.	IL.10_CD3/CD28	IL.10_Clostridium P.	IL.10_PBS	IL.10_Pseudomonas A.	IL.10_Staph A.	MIP.1a_CCL3_Bacillus S.	MIP.1a_CCL3_Bacteroides V.	MIP.1a_CCL3_Candida A.	MIP.1a_CCL3_CD3/CD28	MIP.1a_CCL3_Clostridium P.	MIP.1a_CCL3_PBS	MIP.1a_CCL3_Pseudomonas A.	MIP.1a_CCL3_Staph A.	MIP.1b_CCL4_Bacillus S.	MIP.1b_CCL4_Bacteroides V.	MIP.1b_CCL4_Candida A.	MIP.1b_CCL4_CD3/CD28	MIP.1b_CCL4_Clostridium P.	MIP.1b_CCL4_PBS	MIP.1b_CCL4_Pseudomonas A.	MIP.1b_CCL4_Staph A.	IL.17_Bacillus S.	IL.17_Bacteroides V.	IL.17_Candida A.	IL.17_CD3/CD28	IL.17_Clostridium P.	IL.17_PBS	IL.17_Pseudomonas A.	IL.17_Staph A.	IL.6_Bacillus S.	IL.6_Bacteroides V.	IL.6_Candida A.	IL.6_CD3/CD28	IL.6_Clostridium P.	IL.6_PBS	IL.6_Pseudomonas A.	IL.6_Staph A.	IL.13_Bacillus S.	IL.13_Bacteroides V.	IL.13_Candida A.	IL.13_CD3/CD28	IL.13_Clostridium P.	IL.13_PBS	IL.13_Pseudomonas A.	IL.13_Staph A.
504853	0	0	0	0	0	0	0	0	0	0	0	51.14	0	0	0	0	15.76	0	0	3702	0	0	0	7.28	0	5.19	0	75.9	12.04	0	0	12.98	110.54	107.26	0	5.41	90.42	0	152.39	62.4	0	0	0	0	0	0	0	0	0	0	0	1.43	0	0	0	0	0	0	0	44.49	0	0	0	0	63.77	56.04	1.44	487.64	86.93	0	110.5	68.77	0	0	0	479.73	0	0	0	5.62	0	0	0	172.57	0	0	0	0	22.42	113.22	0	99.44	5.49	0	42.48	0	1.09	0	0	19.8	0	0	0	0
504948	0	0	0	0	0	0	0	0	0	0	0	59.27	0	0	0	0	0	808.59	0	7271	26.85	0	99.03	0	3.3	9.03	0	69.8	13.66	0	5.99	20.67	826.44	987.44	39.71	61.94	511.07	5.55	880.16	513.91	12.39	0	0	0	0	0	8.41	0	0	0	0	0	0	0	0	0	0	0	0	110.44	0	0	0	0	130.57	253.61	4.66	241.34	105.53	0	164.17	119.87	2.99	38.53	0	282.53	0	0	30.39	28.8	0	0	0	213.14	1.6	0	0	0	77.37	267.28	12.79	137.52	17.48	0	165.91	20.31	2.79	0	0	0	0	0	0	0
504949	2.93	2.73	3.76	1.9	3.09	2.19	3.9	2.64	6.6	10.86	9.23	11.22	6.2	7.14	5.77	5.87	8.5	0	0	967.24	0	0	440.4	0	6.45	7.94	2.62	48.58	7.78	2.43	6.89	9.5	48.76	62.77	22.95	14.47	29.51	11.78	164.67	31.09	7.11	0	6.94	3.94	4.22	0	9.8	7.37	0	18.35	3.59	0	0	0	0	0	62.22	73.89	65.02	71.2	63.7	60.09	115.12	50.68	90.29	129.65	14	241.82	26.08	11.7	124.03	60.78	41	41.49	0	77.91	0	0	42.31	0	13.72	11.17	10.19	80.54	3.08	13.23	0	24.17	0	0	0	0	0	0	0	0	7.98	6.99	6.14	3.63	8.37	3.82	7.44	2.46
504954	2.69	2.1	2.39	0	4.08	0	7.05	3.42	0	0	0	85.82	0	0	0	1.86	847.04	274.43	268.45	4695	1905	0	3829	3036	20.44	63.5	9.66	174.99	93.14	2.81	40.05	116.49	2554	2422	355.82	148.77	1677	202.66	2524	1942	128.25	45.85	16.27	22.37	46.7	9.11	53.63	107.51	0	0	0	2.36	0	0	0	0	0	0	0	0	0	0	79.15	0	322.94	554.5	45.51	271.8	368.17	12.4	436.25	516.83	131.86	148.63	6.19	474.69	91.3	0	162.72	297.33	10.46	8.33	17.15	184.41	0	0	7.04	21.51	144.94	363.05	5.43	97.33	19.25	8.02	422.99	126.27	0	0	0	0	0	0	0	0
505048	3.79	3.12	3.9	0.98	5.94	0	14.72	4.23	7.71	7.74	8.7	27.47	10.1	2.91	23.18	4.7	0	55.58	0	541.12	0	0	332.41	39.05	7.67	15.55	3.52	41.87	17.9	1.05	24.53	33.71	593.33	729.72	56.99	26.37	429.77	18.55	1783	818.5	17.43	5.31	6.92	0	8.19	0	42.84	21.69	0	5.5	0	0	18.83	0	57.55	0	71.27	84.26	48.92	68.12	68.19	61.88	297.19	67.79	115.43	190.94	21.62	103.75	93.93	5.94	353.27	250.69	0	40.52	0	51.2	0	0	63.16	0	1.79	2.48	12.72	58.55	7.63	0	24.72	13.53	0	0	0	0	0	0	0	0	10.44	7.59	9.41	6.02	11.44	0	13.67	7.64
505049	2.37	4.64	3.77	2.61	5.16	0	2.8	1.7	7.84	7.29	9.13	62.98	8.4	4.14	3.13	5.56	0	0	0	1546	14.13	0	1666	36.06	5.38	6.07	2	37.59	9.4	0	7.76	11.97	18.82	22.67	12.06	9.49	21.72	4.92	11.21	20.42	4.13	0	0	0	15.62	0	0	0	0	0	0	0	14.62	0	0	0	81.21	67.54	52.62	63.75	78.46	0	103.38	40.61	78.38	97.74	14.27	157.01	26.35	12.03	103.64	107.19	0	39.98	0	62.49	0	0	50.15	0	9.33	0	16.76	94.33	16.1	0	1.65	8.24	0	0	0	0	0	0	0	0	4.19	5.14	6.61	8.51	8.61	0	0	3.84
505050	1.77	0	1.61	1.12	1.56	0	1.31	0.65	3.42	2.57	4.26	29.41	3.56	0	3.6	5.24	16.82	690.66	6.82	2042	13.83	0	79.49	59.13	8.06	7.91	2.43	89.66	4.34	0	7.23	2.68	27.29	16.44	13.22	9.55	9.12	0	35.29	16.16	10.1	9.56	7.53	1.47	11.54	0	6.15	2.64	13.84	9.99	7.94	7.87	7.63	0	6.82	7.25	164.64	73	0	0	0	0	0	0	45.34	0	15.62	189.37	32.53	5.75	94.14	54.72	52.85	60.81	16.25	133.63	43.88	1.19	22.66	22.78	2.26	7.83	3.67	78.89	9.31	1.39	6.77	0	0	38.55	0	84.55	21.43	0	143.05	0	0	1.56	4.95	2.18	8.32	0	3.99	2.31
505054	8.37	4.05	10.79	3.08	0	0	0	0	18.29	22.92	32.01	41.97	20.63	0	13.93	9.72	59.69	187.22	46.69	2384	59.94	3.99	117.37	24.92	19.74	27.23	10.04	102.14	27.77	0	26.37	35.86	125.18	139.24	70.49	31.81	94.88	15.82	149.76	92.89	29.54	26.08	33.14	19.82	21.82	11.13	19.42	22.92	23.75	32.58	43.7	10.95	16.76	7.54	13.14	17.67	112.65	145.26	199.94	113.7	57.07	27.38	72.81	174.6	133.26	189.08	55.68	263.49	69.89	28.21	232.45	176.7	98.07	97.27	84.13	223.93	50.63	15.39	60.74	85.08	24.8	22.87	43.02	101.56	15.59	0	15.42	15.93	85.68	598.46	44.91	108.45	22.75	8.84	206.82	47.53	16.99	12.98	17.51	6.64	8.43	3.12	13.79	3.6
505057	0.37	0.76	0	0	0.7	0	1.92	0	0	0	0	33.85	0	0	0	0	218.82	6.69	0	4335	5.64	0	638.87	31.3	7.03	12.31	0	106.06	20.83	0	15.62	38	537.38	494.59	25.62	19.6	458.65	3.6	706.32	508.25	60.48	0	0	0	6.19	0	23.77	29.54	0	0	0	0	0	0	1.02	0	0	25.86	0	0	15.49	0	58.17	0	255.02	361.39	12	257.79	0	4.11	294.56	255.62	91.54	91.38	0	237.67	23.11	0	141.64	124.74	3.51	0	0	118.91	2.35	0	0	0	137.12	426.35	0	129.28	22.35	0	357.75	36.18	1.19	1.94	0	0	0	0	0	0
505149	0	0	0	0	0	0	0	0	0	0	0	35.2	0	0	0	0	0	0	0	3664	0	0	4.03	0	3.08	6.39	0	69.8	5.44	0	7.44	9.5	12.17	58.54	5.29	2.14	21.67	0	74.03	26.38	0	0	0	0	0	0	0	0	0	0	1.18	0	1.93	0	0	0	0	0	0	10.97	0	0	0	0	115.42	181.48	5.02	349.44	104.13	0	242.82	111.91	0	0	0	330.21	3.49	0	23.13	0	0	0	0	107.83	0	0	0	0	5.24	65.78	0	60.38	3.08	0	27.23	0	1	0	0	0	0	0	0	0
