IL.1a_Bacillus.S.	IL.1a_Bacteroides.V.	IL.1a_Candida.A.	IL.1a_CD3.CD28	IL.1a_Clostridium.P.	IL.1a_PBS	IL.1a_Pseudomonas.A.	IL.1a_Staph.A.	IL.5_Bacillus.S.	IL.5_Bacteroides.V.
0.963474123974886	2.22650852980868	1.56559717585423	0.687060688339892	1.0496307677246	0	1.85996954822103	0	2.69376571221778	2.93734439215023
1.64616265715789	2.25096157353322	1.96716860753263	2.10433665981474	2.30742852519225	0	1.11103131238874	1.59931779369823	2.03913839390696	3.68144926531496
1.66448284036468	0	0	2.02502879449152	0	2.09761079662642	2.43028527297778	0	3.5668151540109	0
0	0	0	0	0.432959407276106	0	1.01435529297707	0	0	0
0.941106310946431	1.4276061727819	1.71369581484336	1.77820857639809	1.88362081628567	0.6959938131099	2.5385381636298	1.21412480535285	1.29278174922785	2.8499992594661
0	0	0	0	0	1.94860084749336	0	2.48026512205446	0	0
1.18269229751619	1.19534759832222	1.73984810269933	0.839959587489532	0	0	1.85199883711245	0	3.40871186102943	1.89530262133331
2.39231742277876	2.70265754339091	2.37573453858316	1.87970576628229	2.62527048937469	1.60407132366886	2.31324585178756	2.35895882583233	2.90303827011291	3.99548451887751
1.83187724119167	2.17632277264046	2.29278174922785	1.14404636961671	2.44625622988956	1.13750352374994	2.06004738366994	2.0036022366802	3.36176835941915	3.37989816352469
0	0	0	2.01792190799726	0	0	2.45154083301783	2.08406426478847	3.01792190799726	2.37851162325373
1.98550043030488	2.88557436437143	2.87578006306849	0	1.9560566524124	0	1.46988597627446	1.36737106564853	2.83794324189103	1.94860084749336
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0.454175893185802	0.815575428862573	0	0	0.765534746362977	0	1.54596836910529	0	0	0
0	0	0	1.22650852980868	0	0	0	0	0	0
0	0	0	0	0	0	4.00450139223494	0	0	2.91073266190291
0	0	0	1.71369581484336	0	0	0	1.37851162325373	0	0
2.51601514700366	2.38128337250378	1.9560566524124	1.16992500144231	0	2.06695024392463	3.05311133645956	1.89141918684608	3.44625622988956	4.58135124716878
0	0	1.36176835941915	1.59454854955035	0	0	1.52105073690096	0	2.72246602447109	2.75060650483559
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1.34482849699744	0	0	0	0	1.13093086982645	0	0	2.03562390973072	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1.13750352374994	0	0	0	0	0	0	0	0	0
1.10433665981474	2.39506279951758	0.933572638261024	0.6959938131099	0.443606651475615	0	1.77820857639809	1.17632277264046	1.76553474636298	3.01792190799726
0	0	0	0	0	0	0	0	0	0
1.98913900736823	2.25398926623079	1.81966818349646	1.76553474636298	1.82374936030827	0	1.76553474636298	1.43829285157915	1.93734439215023	3.78240856492737
2.45680614923047	2.85996954822103	2.95791459863299	1.83187724119167	2.56559717585422	1.70043971814109	2.8011586560937	2.37851162325373	3.39369076418745	3.83895176695194
0	0	0	0	0	0	0	0	0	0
