alpha	lambda	MSE	num	Log2_MSE	combo
0.427	1.51522121212121	4.63006904051918	8	2.49315261392254	0.427;1.515
0.166	4.44445555555556	4.63011505535313	4	2.49316440509259	0.166;4.444
0.218	2.47479797979798	4.63011951413135	8	2.49316554763668	0.218;2.475
0.531	2.3737898989899	4.63012292100269	6	2.49316642063323	0.531;2.374
0.792	1.61622929292929	4.63012584836223	2	2.49316717075646	0.792;1.616
0.166	3.13135050505051	4.63014620252109	2	2.49317238641092	0.166;3.131
0.948	1.46471717171717	4.63015153416445	4	2.49317375261555	0.948;1.465
0.218	4.54546363636364	4.63015629178464	5	2.49317497172876	0.218;4.545
0.844	1.41421313131313	4.63018111581509	7	2.49318133272921	0.844;1.414
0.792	1.01018080808081	4.63019110241345	2	2.49318389172382	0.792;1.01
0.427	2.72731818181818	4.63019448469591	4	2.49318475840855	0.427;2.727
0.114	0.707156565656566	4.63022491074839	1	2.49319255483487	0.114;0.707
0.218	1.46471717171717	4.63024858948252	7	2.49319862228706	0.218;1.465
0.323	2.27278181818182	4.63028316725704	2	2.49320748246967	0.323;2.273
0.271	3.83840707070707	4.63029910857332	1	2.49321156724208	0.271;3.838
0.323	5	4.63031556921936	5	2.49321578507443	0.323;5
0.323	4.94949595959596	4.63031556921936	5	2.49321578507443	0.323;4.949
0.323	4.89899191919192	4.63031556921936	5	2.49321578507443	0.323;4.899
0.323	4.84848787878788	4.63031556921936	5	2.49321578507443	0.323;4.848
0.323	4.79798383838384	4.63031556921936	5	2.49321578507443	0.323;4.798
0.323	4.7474797979798	4.63031556921936	5	2.49321578507443	0.323;4.747
0.323	4.69697575757576	4.63031556921936	5	2.49321578507443	0.323;4.697
0.323	4.64647171717172	4.63031556921936	5	2.49321578507443	0.323;4.646
0.323	4.59596767676768	4.63031556921936	5	2.49321578507443	0.323;4.596
0.323	4.54546363636364	4.63031556921936	5	2.49321578507443	0.323;4.545
0.323	4.4949595959596	4.63031556921936	5	2.49321578507443	0.323;4.495
0.323	4.44445555555556	4.63031556921936	5	2.49321578507443	0.323;4.444
0.323	4.39395151515151	4.63031556921936	5	2.49321578507443	0.323;4.394
0.323	4.34344747474747	4.63031556921936	5	2.49321578507443	0.323;4.343
0.323	4.29294343434343	4.63031556921936	5	2.49321578507443	0.323;4.293
0.323	4.24243939393939	4.63031556921936	5	2.49321578507443	0.323;4.242
0.323	4.19193535353535	4.63031556921936	5	2.49321578507443	0.323;4.192
0.323	4.14143131313131	4.63031556921936	5	2.49321578507443	0.323;4.141
0.323	4.09092727272727	4.63031556921936	5	2.49321578507443	0.323;4.091
0.323	4.04042323232323	4.63031556921936	5	2.49321578507443	0.323;4.04
0.323	3.98991919191919	4.63031556921936	5	2.49321578507443	0.323;3.99
0.323	3.93941515151515	4.63031556921936	5	2.49321578507443	0.323;3.939
0.323	3.88891111111111	4.63031556921936	5	2.49321578507443	0.323;3.889
0.427	1.76774141414141	4.63033026685525	4	2.4932195511473	0.427;1.768
0.479	2.3737898989899	4.63038180531414	10	2.49323275711129	0.479;2.374
1	0.656652525252525	4.63050938132133	7	2.49326544604681	1;0.657
0.427	2.22227777777778	4.63051930945715	6	2.49326798991251	0.427;2.222
0.531	2.42429393939394	4.63058985227617	1	2.4932860648239	0.531;2.424
0.635	1.11118888888889	4.63078314494757	6	2.49333559029093	0.635;1.111
0.218	3.93941515151515	4.63082708697007	2	2.49334684888302	0.218;3.939
0.271	3.88891111111111	4.63086679481837	1	2.49335702254187	0.271;3.889
0.114	2.07076565656566	4.63086972556185	2	2.49335777343301	0.114;2.071
0.218	2.07076565656566	4.63091255312312	2	2.49336874631611	0.218;2.071
0.166	2.02026161616162	4.63099824944997	7	2.49339070238875	0.166;2.02
0.583	2.07076565656566	4.63102055378827	6	2.49339641688076	0.583;2.071
0.427	2.17177373737374	4.63109529334913	6	2.49341556539517	0.427;2.172
0.948	1.21219696969697	4.63110463798191	4	2.49341795950209	0.948;1.212
0.427	2.07076565656566	4.63115564114023	6	2.49343102650671	0.427;2.071
1	1.06068484848485	4.63115987405646	4	2.49343211097416	1;1.061
0.687	1.66673333333333	4.63116615095399	7	2.49343371910536	0.687;1.667
0.166	0.858668686868687	4.63118317900106	6	2.49343808165501	0.166;0.859
0.427	2.1212696969697	4.63118418561308	6	2.49343833954647	0.427;2.121
0.375	0.909172727272727	4.63121687533746	10	2.49344671454626	0.375;0.909
0.271	4.24243939393939	4.63123695694715	3	2.49345185936445	0.271;4.242
0.531	1.76774141414141	4.63126672035991	10	2.49345948458336	0.531;1.768
1	0.606148484848485	4.63128917800467	1	2.49346523807893	1;0.606
0.166	1.96975757575758	4.63133058285726	4	2.49347584565989	0.166;1.97
0.531	2.47479797979798	4.63134541070699	1	2.49347964441345	0.531;2.475
0.792	1.26270101010101	4.63139375009798	7	2.49349202843455	0.792;1.263
0.531	2.42429393939394	4.63140640631949	6	2.49349527080194	0.531;2.424
0.375	1.51522121212121	4.63142512673	5	2.49350006672619	0.375;1.515
0.271	1.91925353535354	4.63144383282874	7	2.49350485896802	0.271;1.919
0.531	5	4.63151488165332	1	2.49352306054178	0.531;5
0.531	4.94949595959596	4.63151488165332	1	2.49352306054178	0.531;4.949
0.531	4.89899191919192	4.63151488165332	1	2.49352306054178	0.531;4.899
0.531	4.84848787878788	4.63151488165332	1	2.49352306054178	0.531;4.848
0.531	4.79798383838384	4.63151488165332	1	2.49352306054178	0.531;4.798
0.531	4.7474797979798	4.63151488165332	1	2.49352306054178	0.531;4.747
0.531	4.69697575757576	4.63151488165332	1	2.49352306054178	0.531;4.697
0.531	4.64647171717172	4.63151488165332	1	2.49352306054178	0.531;4.646
0.531	4.59596767676768	4.63151488165332	1	2.49352306054178	0.531;4.596
0.531	4.54546363636364	4.63151488165332	1	2.49352306054178	0.531;4.545
0.531	4.4949595959596	4.63151488165332	1	2.49352306054178	0.531;4.495
0.531	4.44445555555556	4.63151488165332	1	2.49352306054178	0.531;4.444
0.531	4.39395151515151	4.63151488165332	1	2.49352306054178	0.531;4.394
0.531	4.34344747474747	4.63151488165332	1	2.49352306054178	0.531;4.343
0.531	4.29294343434343	4.63151488165332	1	2.49352306054178	0.531;4.293
0.531	4.24243939393939	4.63151488165332	1	2.49352306054178	0.531;4.242
0.531	4.19193535353535	4.63151488165332	1	2.49352306054178	0.531;4.192
0.531	4.14143131313131	4.63151488165332	1	2.49352306054178	0.531;4.141
0.531	4.09092727272727	4.63151488165332	1	2.49352306054178	0.531;4.091
0.531	4.04042323232323	4.63151488165332	1	2.49352306054178	0.531;4.04
0.531	3.98991919191919	4.63151488165332	1	2.49352306054178	0.531;3.99
0.531	3.93941515151515	4.63151488165332	1	2.49352306054178	0.531;3.939
0.531	3.88891111111111	4.63151488165332	1	2.49352306054178	0.531;3.889
0.531	3.83840707070707	4.63151488165332	1	2.49352306054178	0.531;3.838
0.531	3.78790303030303	4.63151488165332	1	2.49352306054178	0.531;3.788
0.531	3.73739898989899	4.63151488165332	1	2.49352306054178	0.531;3.737
0.531	3.68689494949495	4.63151488165332	1	2.49352306054178	0.531;3.687
0.531	3.63639090909091	4.63151488165332	1	2.49352306054178	0.531;3.636
0.531	3.58588686868687	4.63151488165332	1	2.49352306054178	0.531;3.586
0.531	3.53538282828283	4.63151488165332	1	2.49352306054178	0.531;3.535
0.531	3.48487878787879	4.63151488165332	1	2.49352306054178	0.531;3.485
0.531	3.43437474747475	4.63151488165332	1	2.49352306054178	0.531;3.434
0.531	3.38387070707071	4.63151488165332	1	2.49352306054178	0.531;3.384
0.531	3.33336666666667	4.63151488165332	1	2.49352306054178	0.531;3.333
0.531	3.28286262626263	4.63151488165332	1	2.49352306054178	0.531;3.283
0.531	3.23235858585859	4.63151488165332	1	2.49352306054178	0.531;3.232
0.531	3.18185454545455	4.63151488165332	1	2.49352306054178	0.531;3.182
0.531	3.13135050505051	4.63151488165332	1	2.49352306054178	0.531;3.131
0.531	3.08084646464647	4.63151488165332	1	2.49352306054178	0.531;3.081
0.531	3.03034242424242	4.63151488165332	1	2.49352306054178	0.531;3.03
0.531	2.97983838383838	4.63151488165332	1	2.49352306054178	0.531;2.98
0.531	2.92933434343434	4.63151488165332	1	2.49352306054178	0.531;2.929
0.531	2.8788303030303	4.63151488165332	1	2.49352306054178	0.531;2.879
0.531	2.82832626262626	4.63151488165332	1	2.49352306054178	0.531;2.828
0.531	2.77782222222222	4.63151488165332	1	2.49352306054178	0.531;2.778
0.531	2.72731818181818	4.63151488165332	1	2.49352306054178	0.531;2.727
0.531	2.67681414141414	4.63151488165332	1	2.49352306054178	0.531;2.677
0.531	2.6263101010101	4.63151488165332	1	2.49352306054178	0.531;2.626
0.531	2.57580606060606	4.63151488165332	1	2.49352306054178	0.531;2.576
0.531	2.52530202020202	4.63151488165332	1	2.49352306054178	0.531;2.525
0.375	1.46471717171717	4.63151539577695	5	2.4935231922512	0.375;1.465
0.531	1.71723737373737	4.63152499779165	5	2.49352565211612	0.531;1.717
0.687	1.76774141414141	4.63153774381156	3	2.49352891741263	0.687;1.768
0.896	1.31320505050505	4.63156477427917	5	2.49353584209817	0.896;1.313
0.687	1.71723737373737	4.63162473220057	6	2.49355120204498	0.687;1.717
0.531	2.07076565656566	4.63162639064666	5	2.49355162690134	0.531;2.071
0.218	3.58588686868687	4.63164822762974	3	2.49355722103063	0.218;3.586
0.375	2.57580606060606	4.63166697487151	3	2.49356202362245	0.375;2.576
0.114	0.101108080808081	4.63167700616049	7	2.49356459339052	0.114;0.101
0.062	2.8788303030303	4.63171290460928	2	2.4935737896475	0.062;2.879
0.479	0.606148484848485	4.6317942070203	7	2.4935946170122	0.479;0.606
0.218	1.31320505050505	4.63181176303868	5	2.49359911432518	0.218;1.313
0.531	5	4.63182870477467	6	2.49360345426457	0.531;5
0.531	4.94949595959596	4.63182870477467	6	2.49360345426457	0.531;4.949
0.531	4.89899191919192	4.63182870477467	6	2.49360345426457	0.531;4.899
0.531	4.84848787878788	4.63182870477467	6	2.49360345426457	0.531;4.848
0.531	4.79798383838384	4.63182870477467	6	2.49360345426457	0.531;4.798
0.531	4.7474797979798	4.63182870477467	6	2.49360345426457	0.531;4.747
0.531	4.69697575757576	4.63182870477467	6	2.49360345426457	0.531;4.697
0.531	4.64647171717172	4.63182870477467	6	2.49360345426457	0.531;4.646
0.531	4.59596767676768	4.63182870477467	6	2.49360345426457	0.531;4.596
0.531	4.54546363636364	4.63182870477467	6	2.49360345426457	0.531;4.545
0.531	4.4949595959596	4.63182870477467	6	2.49360345426457	0.531;4.495
0.531	4.44445555555556	4.63182870477467	6	2.49360345426457	0.531;4.444
0.531	4.39395151515151	4.63182870477467	6	2.49360345426457	0.531;4.394
0.531	4.34344747474747	4.63182870477467	6	2.49360345426457	0.531;4.343
0.531	4.29294343434343	4.63182870477467	6	2.49360345426457	0.531;4.293
0.531	4.24243939393939	4.63182870477467	6	2.49360345426457	0.531;4.242
0.531	4.19193535353535	4.63182870477467	6	2.49360345426457	0.531;4.192
0.531	4.14143131313131	4.63182870477467	6	2.49360345426457	0.531;4.141
0.531	4.09092727272727	4.63182870477467	6	2.49360345426457	0.531;4.091
0.531	4.04042323232323	4.63182870477467	6	2.49360345426457	0.531;4.04
0.531	3.98991919191919	4.63182870477467	6	2.49360345426457	0.531;3.99
0.531	3.93941515151515	4.63182870477467	6	2.49360345426457	0.531;3.939
0.531	3.88891111111111	4.63182870477467	6	2.49360345426457	0.531;3.889
0.531	3.83840707070707	4.63182870477467	6	2.49360345426457	0.531;3.838
0.531	3.78790303030303	4.63182870477467	6	2.49360345426457	0.531;3.788
0.531	3.73739898989899	4.63182870477467	6	2.49360345426457	0.531;3.737
0.531	3.68689494949495	4.63182870477467	6	2.49360345426457	0.531;3.687
0.531	3.63639090909091	4.63182870477467	6	2.49360345426457	0.531;3.636
0.531	3.58588686868687	4.63182870477467	6	2.49360345426457	0.531;3.586
0.531	3.53538282828283	4.63182870477467	6	2.49360345426457	0.531;3.535
