alpha	lambda	MSE	num	Log2_MSE	combo
0.01	4.7474797979798	56.2392801052545	4	5.83893362238328	0.01;4.747
0.114	1.16169292929293	56.2397184478875	8	5.83894467060611	0.114;1.162
0.166	1.21219696969697	56.2399425616024	8	5.8389503192557	0.166;1.212
0.271	1.01018080808081	56.2400054528051	2	5.83895190438616	0.271;1.01
0.844	0.505140404040404	56.2404781931848	1	5.83896381943368	0.844;0.505
0.01	4.89899191919192	56.2408647840293	4	5.83897356307714	0.01;4.899
0.114	0.808164646464646	56.2410788869066	9	5.83897895930207	0.114;0.808
0.01	4.39395151515151	56.2412347714565	4	5.8389828881861	0.01;4.394
0.01	3.88891111111111	56.2414586149571	2	5.83898852987566	0.01;3.889
0.218	1.21219696969697	56.2421367961051	1	5.83900562243073	0.218;1.212
0.01	1.06068484848485	56.2421882086294	10	5.83900691819928	0.01;1.061
0.062	2.02026161616162	56.2422775328771	2	5.83900916946801	0.062;2.02
0.375	0.606148484848485	56.2426109318554	9	5.83901757220236	0.375;0.606
0.166	1.01018080808081	56.2428327421833	9	5.83902316251411	0.166;1.01
0.01	3.93941515151515	56.2436231843888	2	5.8390430839457	0.01;3.939
0.218	0.757660606060606	56.2436614443643	9	5.83904404820085	0.218;0.758
0.218	0.151612121212121	56.2437263363714	1	5.83904568365395	0.218;0.152
0.062	3.93941515151515	56.2438540467733	6	5.83904890229414	0.062;3.939
0.323	1.41421313131313	56.2444348300422	6	5.83906353947931	0.323;1.414
0.01	0.0506040404040404	56.2446714742453	9	5.83906950346015	0.01;0.051
0.114	3.53538282828283	56.2454991870189	2	5.83909036354109	0.114;3.535
0.01	1.11118888888889	56.2455003813284	10	5.83909039363995	0.01;1.111
0.01	3.98991919191919	56.2455945829352	2	5.83909276769692	0.01;3.99
0.114	2.97983838383838	56.2463124588429	7	5.83911085938635	0.114;2.98
0.062	1.81824545454545	56.2470096593259	4	5.83912842980287	0.062;1.818
0.01	4.69697575757576	56.2472148526789	4	5.83913360091843	0.01;4.697
0.375	0.404132323232323	56.2474094028167	4	5.83913850379524	0.375;0.404
0.01	4.44445555555556	56.2474299742486	4	5.83913902221691	0.01;4.444
0.01	4.04042323232323	56.2474779659939	2	5.83914023165852	0.01;4.04
0.375	0.505140404040404	56.2476926416169	2	5.83914564169381	0.375;0.505
0.792	0.202116161616162	56.2486986159402	9	5.83917099295862	0.792;0.202
0.01	1.16169292929293	56.2488606665363	10	5.83917507670666	0.01;1.162
0.01	4.09092727272727	56.2492536292255	2	5.83918497949547	0.01;4.091
0.271	0.404132323232323	56.2493990611851	8	5.83918864441138	0.271;0.404
0.114	1.11118888888889	56.2501933331093	8	5.83920866006632	0.114;1.111
0.01	4.14143131313131	56.2510289479536	2	5.83922971726323	0.01;4.141
