sample	A4.RANTES.	A5.MIP.3a.	A6.KC.	A7.TNF.a.	A8.MCP.1.	A10.IP.10.	B4.MIP.1a.	B5.MIP.1b.	B6.IL.1a.	B7.IL.6.
505752	16.8301104132502	200.681199668926	383.147173824041	1.00000000000001	8.61799319322384	87.2390980097798	1.00000000000012	9.09678233173786	9.34400819618416	0
57-3	23.5750690213975	461.051600293839	124.994082708585	11.2091750529114	43.0822021486898	286.680737398907	7.97345150277104	15.299432184551	3.28392707726645	0
64-1	59.0989108318399	62.1117790997634	554.272546429287	4.52551542373257	17.9516570318154	111.347049064558	14.9183730333588	3.77034594464501	1.04297559460482	0
31-31	55.9193444102455	252.551600183133	300.793313534023	34.4447886942944	71.1130117077298	332.722046263033	52.3335974726601	23.9672115138922	68.2731442289909	140.224590515648
02-4	33.0793320323634	166.95336551103	1132.75542698667	30.5157902817434	181.860148527654	135.363092089475	31.4679440013817	15.6884224027848	14.4366610900145	275.682820783394
82-92	53.33497760878	134.499359405109	473.388019994384	13.7890272844016	51.6359548053433	113.273828624025	25.2934335366211	22.0499690491858	33.9422944892388	50.7124560513191
515654	33.2640152595009	72.2623937792119	42.1748204277584	4.29688429892301	10.1940133181772	24.4549652472984	0	8.76955202796179	27.9940047327278	0
515048	41.3432076361824	227.371759889958	1488.85893467346	43.3728800726991	340.238651453887	186.851325564981	11.8535495880549	28.3715901063086	119.318560970874	860.649294407399
514851	22.44448095644	77.495534600201	235.352474036449	1.00000000000001	15.8298112600405	68.2654124766542	1.00000000000012	7.27848604306344	11.029188589192	0
515555	34.7025024420347	146.555561759754	204.57425122036	11.8451203945403	46.7649012810628	70.3180153324261	21.9562855734091	14.9252965426163	41.5991073843244	44.3100623770678
57-4	21.9758318452765	69.6449321282569	26.1304758839408	1.00000000000001	26.7752555410895	49.9633774315637	11.153151110194	10.0558604556937	4.69828631627687	205.047859123284
64-2	24.5968542333845	183.7067679026	918.569212729547	24.7162722955811	107.283996067197	481.662261353063	183.76949266131	11.5036449950574	25.3350076845233	1537.42822180146
31-80	66.5436749838429	196.319450289383	335.080086288948	1.00000000000001	22.8187076453559	114.327267123071	10.6849272273152	37.2207165393732	2.09479257803577	0
02-8	21.9087306716916	94.175291067258	255.49138035162	1.00000000000001	14.935406324605	81.287365629981	41.8590521533026	3.23338550897764	185.751106782676	70.1096175255944
82-7	64.3324628678129	284.859310020663	526.648896049055	21.9210165496384	218.677093668205	226.168648839258	21.9562855734091	30.5703874246262	14.2946829138196	339.032772654676
515255	33.4177348333683	154.939551597528	555.939837470142	1.00000000000001	158.859838698673	97.6951686120829	1.00000000000012	9.43877565168186	53.6466062956716	393.141190205152
504857	43.3699742155034	206.36138754548	511.047010513788	15.6728149689811	44.5416866901272	159.109775660337	25.6182746142657	19.3872432369192	23.5845805489532	386.769476135504
514855	36.1871422781848	53.3567176488252	167.584231337834	1.00000000000001	11.2191111561195	44.9781058913776	1.00000000000012	11.7463640087185	20.1183961198994	0
515750	97.7980449022892	180.912276915387	189.584304904569	33.8770584394295	21.819007666677	150.46639138575	19.1734480324786	21.5452073375641	30.9981677384421	0
57-5	58.9675159120077	349.611309555092	639.678916847179	48.7303844051297	41.3459342041616	210.419113416346	28.9928546979408	23.4582133811147	1.90223345778733	31.2988997893567
