alpha	lambda	MSE	num	Log2_MSE	combo
0.062	2.1212696969697	23.2469570667781	2	4.59973179888296	0.062;2.121
0.062	2.17177373737374	23.2473947081425	2	4.59975783832892	0.062;2.172
0.062	2.22227777777778	23.2479769532584	2	4.5997924808984	0.062;2.222
0.062	1.86874949494949	23.2480234308083	2	4.59979524619576	0.062;1.869
0.01	3.63639090909091	23.2481754735851	10	4.59980429232164	0.01;3.636
0.062	2.27278181818182	23.2493555464776	2	4.59987450147557	0.062;2.273
0.01	3.58588686868687	23.2495056086221	10	4.59988342926919	0.01;3.586
0.062	1.81824545454545	23.2497133965246	2	4.59989579130646	0.062;1.818
0.062	1.06068484848485	23.2504781615662	9	4.59994128897143	0.062;1.061
0.062	2.32328585858586	23.2508379360099	2	4.59996269230014	0.062;2.323
0.01	3.53538282828283	23.2508406110404	10	4.5999628514391	0.01;3.535
0.062	1.76774141414141	23.2518836653477	2	4.60002490194447	0.062;1.768
0.01	3.48487878787879	23.2521538972737	10	4.60004097740042	0.01;3.485
0.062	2.3737898989899	23.2528353964532	2	4.60008151737377	0.062;2.374
0.01	3.43437474747475	23.2534173630355	10	4.60011613560357	0.01;3.434
0.01	3.38387070707071	23.2546034971157	10	4.60018669011086	0.01;3.384
0.062	1.71723737373737	23.2546666848102	2	4.60019044859138	0.062;1.717
0.062	2.42429393939394	23.2552797810718	2	4.6002269157904	0.062;2.424
0.114	0.555644444444444	23.2555171147647	9	4.60024103224132	0.114;0.556
0.01	3.33336666666667	23.2557225039374	10	4.60025324854185	0.01;3.333
0.01	3.28286262626263	23.2567935113394	10	4.60031694909563	0.01;3.283
0.062	2.47479797979798	23.2568087090657	2	4.60031785299406	0.062;2.475
0.062	1.66673333333333	23.2571433543045	2	4.60033775617679	0.062;1.667
0.01	3.23235858585859	23.2578237188737	10	4.60037822033246	0.01;3.232
0.062	2.52530202020202	23.2579649695067	2	4.60038662096217	0.062;2.525
0.01	3.18185454545455	23.2588391577705	10	4.60043861066329	0.01;3.182
0.062	2.57580606060606	23.2589248668313	2	4.60044370784943	0.062;2.576
0.062	2.6263101010101	23.2596813162096	2	4.60048869371578	0.062;2.626
0.062	1.61622929292929	23.2596996971568	2	4.60048978680893	0.062;1.616
0.062	2.67681414141414	23.2597387730394	2	4.6004921106026	0.062;2.677
0.01	3.13135050505051	23.2598634375774	10	4.60049952422112	0.01;3.131
0.062	2.72731818181818	23.2600313303431	2	4.60050950849918	0.062;2.727
0.062	2.77782222222222	23.2603420096363	2	4.60052798385066	0.062;2.778
0.01	3.08084646464647	23.2609120794789	10	4.60056188391983	0.01;3.081
0.062	2.82832626262626	23.2610607638752	2	4.60057072553235	0.062;2.828
0.062	2.8788303030303	23.2619292284681	2	4.60062236825105	0.062;2.879
