sample	RANTES	MIP_3a	KC	TNF_a	MCP_1	IP_10	MIP_1a	MIP_1b	IL_1a	IL_6
02-4	36.5139861764014	173.722661334495	1120.48042617537	30.6709751605663	174.604738944283	145.184278916558	23.804278550418	26.4008315039826	15.0669489596871	174.113724561703
82-92	54.7710585915282	138.268537065376	452.758972820446	13.0630958411222	52.4023723060443	122.707111332566	19.5431794196632	34.1210227424958	36.3296629096849	41.2259495001398
515654	36.683619117303	72.5064037403278	42.1864371110789	2.55261064515981	9.31056557158032	30.6611721700268	4.26480727081748	16.4590240483519	29.8865406689895	0
515048	44.0301257472712	241.246668255227	1484.65987444359	43.8822724640331	327.424180192863	197.383201322423	10.8540874176279	41.1314275249756	122.694380123076	503.497081790704
514851	26.5288679372505	77.8959079520135	221.602404013863	0	15.9835592584074	76.6018428997145	1.58168648430149	13.8778023411101	11.3549775965118	0
515555	38.0018190455227	151.361356297726	192.49702284981	10.9607762403555	47.6977421089486	78.7183375701218	17.3053690028888	25.4074130620421	44.5386676994681	36.9091146197443
57-4	26.0751778919912	69.8222511197727	27.252034184579	0	27.7693292079633	57.6314204696406	10.4271656474491	18.5133180595945	4.61511309946856	134.228883670157
64-2	28.593752507805	192.267038755269	901.541180091561	24.638040854003	104.773309099735	494.579408286116	156.375302692518	20.6858257522465	26.9902398975919	928.997944311152
31-80	66.5142927250947	206.324188629182	317.270314030165	0	23.6236633661654	123.78066859454	10.1433950215847	50.2960347869511	2.00158667878724	0
02-8	26.0100878530248	95.2644365094226	240.759785512217	0	14.964495147578	90.0009937112137	31.2880959404426	4.17618225982136	184.573281014329	53.886932969572
82-7	64.5505986948453	306.87824058385	505.614807869892	21.7074914777078	209.513545932248	237.13394838508	17.3053690028888	43.4666250111165	14.9118049726429	209.440580008845
515255	36.8247411562318	160.521840312783	534.815194923882	0	152.96666858154	106.807224862339	2.8405786189862	17.5444936284215	57.2483910944025	239.4696432001
504857	45.855613776854	217.570918907214	490.09814632544	15.0849079231316	45.5363414685859	169.285171385078	19.7635506715334	30.9935374619017	25.079142197022	235.936535972629
514855	39.3570683373111	53.3059209151506	157.80660820446	0	10.5772446656475	52.4238640560479	2.36869705912373	21.0381020549397	21.2871142919302	0
515750	94.348790695136	189.163382217963	178.400242857875	34.1436651763524	22.5589868246835	160.519025221525	15.4774149805534	33.5376434042277	33.1473126202479	0
57-5	59.7838411848511	381.945868346239	618.740229031268	49.3397191338907	42.4111835920571	221.218971250669	22.0782555481038	35.7277456460054	1.81603783690426	27.8366283626642
64-5	33.1392647089036	101.255563477043	522.222983665063	0	1.08917855754509	61.1270380519528	10.9967153142684	26.9195179939249	9.88191288794836	66.6807169600466
31-90	30.3235029685358	284.465808644503	0	18.0154485835628	785.401303393897	1063.73584467733	16.7562019050778	34.6695423146829	10.7032317254643	1519.9755811271
02-9	38.2799369667607	158.39695764184	1770.03412563202	25.5722381829319	212.225356415437	169.098104002564	20.2411076903275	32.2805577766708	37.1619466083295	335.197449236995
82-8	23.3100840139809	298.555215750112	796.075560272174	5.11116243370771	94.0944885006454	94.7418315539115	0	34.2987423150476	20.7999339628896	320.371344214394
515450	69.1875050602578	172.146047849001	471.195848016778	169.311361786139	19.7959147114384	1.00000000000002	74.0917259858381	8.90081105034604	10.7182958338663	113.304410000354
505750	58.2572737201558	204.998588701067	368.39334324648	28.9474881960825	17.131909344927	99.7050050850202	9.19117954654941	17.1916455832908	2.81940604165539	0
505554	63.4803121841001	92.5430022225383	158.310113743165	7.26088294980465	0	37.1918781633081	0	6.32918374935948	2.69894961923731	13.7444661720435
505756	41.7997618538096	157.652451489913	214.964918146453	29.5098065575278	54.6618157589507	218.922999443843	16.6098586367503	25.4074130620421	8.85866465712533	59.1382500710946
505452	1.00000000000011	0	3.44000000000001	0	0	1.00000000000002	0	1.00000000000005	1	0
515652	29.8335774633665	220.889565315693	447.771124683196	0	222.557167670046	137.871055663867	0	12.3934530903442	16.0247158640953	234.700111854085
515656	13.3539169816146	361.102693550309	236.081557258111	32.8401398675939	29.9048611093524	1.00000000000002	11.3181834761286	28.4084868684669	3.2880352000736	0
515056	26.5934080032937	453.532387087367	279.237469898378	66.636999275018	24.6765520237596	199.282669433871	12.1069961857239	38.3375708113081	2.49294213183548	0
505152	65.0945397894004	145.043002318042	298.416297809398	26.544534533977	51.9183575712637	446.199822597754	21.6740984309317	31.8531164914193	15.0134215888373	84.1814701241869
505553	39.3845330960568	361.102693550309	376.569095099786	22.3437767581964	38.7085479114728	138.964520867142	17.8184036519462	27.5897166364357	7.72805472478185	60.1687475900717
505350	38.7509107857163	158.077933835614	642.435635656728	26.7206232244163	83.3269531905387	200.042862410153	14.4940976638469	20.8529119786638	8.66679882572906	139.241081019797
505550	32.4002598831557	259.619201238781	745.750028408339	12.7717520501793	99.2446948949103	175.283151221485	29.2538163345515	25.2495731330447	23.3882451599845	89.6665748156311
505749	25.3552502272566	108.119266352225	186.439796323553	0	32.6066953679089	110.130107420158	0	12.2393954239458	13.2026888480165	35.693668325869
505748	37.7508207679378	144.291651986091	424.466325876653	12.7717520501793	71.3183880151956	129.171423353653	15.5868592952637	24.6507654587422	10.5378274507128	267.533650210992
515357	80.6090924232302	203.262469411677	1029.27631888901	31.6105155041699	38.8618930399418	311.320629672322	37.150043318733	31.0598859854496	11.3498946466898	186.044391291179
515057	57.7608200812806	205.814550068541	177.596360139947	16.5580216953818	48.0189180606587	104.892385613336	22.5190953779975	23.1532802114598	21.528338314495	189.38117188927
505449	61.9426300277093	76.0606182396879	398.3516942537	14.5103464196179	18.7777252519131	160.147229197386	0	35.8873426674202	8.3240499526649	0
505349	17.1762674629471	176.660036401593	396.071976237129	43.9216267699172	11.3035724135276	87.3158342654702	0	15.998326567516	11.8143222234914	0
505556	42.0676850164959	153.923841531348	148.773254867424	12.7717520501793	29.7389232153015	94.5716297314072	5.3013893113226	13.2825265891759	11.1874884253649	0
505655	57.286490275114	170.146015307669	183.967670878645	0	44.4786696970963	42.4561300768446	15.4409412410235	5.85393005326559	8.22473034082467	0
504852	70.5315045045149	354.261920276295	497.338275302325	38.3157126156302	72.9537485547173	755.25187793277	10.9610437900412	21.7008860680304	5.42407386687599	125.902550146818
515651	56.3811049034713	403.390027964139	392.386305341604	40.82270945738	104.671803041922	99.1891747788085	14.3487038177838	34.0563358299164	27.6769965160049	123.47186228842
515550	45.9849190334021	350.215711785155	213.236537409855	0	10.2632185561815	175.095377392762	0	14.2558606006445	4.78412891956076	0
514856	50.0020557291622	123.669534134939	114.925592806033	27.860084089497	32.7683251886345	134.961507032635	8.87584695571115	10.7490529252869	2.31197674372334	43.639759920732
515150	90.6370261776474	194.124890402107	418.507878205819	33.4302076296371	43.6335907834401	77.2516046770457	11.5329055618916	17.211307636127	1.22697643723057	0
515749	33.0214778496441	145.257608812418	97.8406253560015	0	29.4895300993719	109.779429819514	10.107973317459	22.6480097483345	13.4858683118949	0
515756	35.5180830274118	597.532028634212	294.069119256823	14.2221443232189	40.0817123341449	65.6122709636682	0	24.101204756558	16.3821220655031	76.4276745741072
59-5	28.6562735582952	68.6438061395505	264.293759132866	0	25.4587885458542	264.460631859936	47.0735293927488	19.7124142371626	11.096348558671	57.3678472451948
65-2	52.5056482529514	676.00619579555	587.353888032423	13.5472553105236	96.7261131756367	93.2123435518037	16.2076587144134	35.0071715622648	23.852551113729	0
