	15549X45	15549X11	15549X16	15549X15	15549X25	15549X20	15549X1	15549X17	15549X43	15549X29	15549X24	15549X12	15549X34	15549X39	15549X40	15549X33	15549X8	15549X46	15549X23	15549X13	15549X7	15549X10	15549X37	15549X9	15549X2	15549X41	15549X26	15549X47	15549X19	15549X32	15549X36	15549X30	15549X3	15549X5	15549X44	15549X42	15549X4	15549X38	15549X31	15549X18	15549X48	15549X21	15549X27	15549X14	15549X6	15549X28	15549X49	15549X35	15549X22
15549X24	0.8785871964679912	0.8189845474613686	0.7494481236203091	0.8576158940397351	0.977924944812362	0.6335540838852097	0.8885209713024282	0.8730684326710817	0.8841059602649006	0.9690949227373068	0.0	0.8863134657836644	0.9227373068432672	0.9823399558498896	0.8940397350993378	0.9768211920529801	0.9392935982339956	0.9602649006622517	0.5386313465783664	0.9161147902869757	0.8852097130242825	0.9072847682119205	0.8807947019867549	0.9194260485651214	0.6920529801324503	0.9426048565121413	0.9701986754966887	0.8686534216335541	0.7770419426048565	0.8951434878587197	0.8532008830022075	0.9514348785871964	0.8741721854304636	0.7980132450331126	0.8741721854304636	0.7593818984547461	0.7317880794701986	0.9713024282560706	0.8509933774834437	0.7958057395143487	0.9183222958057395	0.9183222958057395	0.977924944812362	0.8763796909492274	0.8300220750551877	0.826710816777042	0.8962472406181016	0.8984547461368654	0.8068432671081678
15549X12	0.7615894039735099	0.6269315673289183	0.7339955849889624	0.6721854304635762	0.8278145695364238	0.7682119205298014	0.6777041942604857	0.7991169977924945	0.7461368653421634	0.7792494481236203	0.8863134657836644	0.0	0.6909492273730684	0.8311258278145696	0.7693156732891833	0.8289183222958058	0.7295805739514348	0.7538631346578366	0.7461368653421634	0.5154525386313465	0.6247240618101545	0.8101545253863135	0.7902869757174393	0.9050772626931567	0.7251655629139073	0.7980132450331126	0.8035320088300221	0.7682119205298014	0.6920529801324503	0.7339955849889624	0.804635761589404	0.8057395143487859	0.6986754966887417	0.652317880794702	0.7560706401766004	0.8035320088300221	0.5143487858719646	0.8200883002207505	0.7980132450331126	0.7295805739514348	0.7715231788079471	0.8421633554083885	0.8167770419426048	0.8278145695364238	0.8785871964679912	0.7902869757174393	0.7737306843267108	0.7075055187637969	0.8156732891832229
15549X34	0.5772626931567328	0.6280353200883002	0.7229580573951435	0.760485651214128	0.5253863134657837	0.7373068432671082	0.6015452538631346	0.7549668874172185	0.6600441501103753	0.4878587196467991	0.9227373068432672	0.6909492273730684	0.0	0.5298013245033113	0.7483443708609272	0.5298013245033113	0.7030905077262694	0.4370860927152318	0.8013245033112583	0.7913907284768212	0.5717439293598234	0.8509933774834437	0.5938189845474614	0.9028697571743929	0.7207505518763797	0.5033112582781457	0.488962472406181	0.445916114790287	0.7649006622516556	0.5529801324503312	0.4757174392935982	0.4988962472406181	0.5551876379690949	0.5176600441501104	0.4315673289183223	0.5838852097130243	0.6865342163355408	0.4977924944812362	0.48123620309050774	0.565121412803532	0.45474613686534215	0.8741721854304636	0.488962472406181	0.8520971302428256	0.8863134657836644	0.49448123620309054	0.4613686534216336	0.38741721854304634	0.8719646799116998
15549X39	0.630242825607064	0.7693156732891833	0.8167770419426048	0.8763796909492274	0.0728476821192053	0.9823399558498896	0.6876379690949227	0.9337748344370861	0.7682119205298014	0.1986754966887417	0.9823399558498896	0.8311258278145696	0.5298013245033113	0.0	0.8123620309050773	0.02097130242825607	0.8774834437086093	0.39293598233995586	0.9437086092715232	0.8885209713024282	0.7373068432671082	0.8929359823399559	0.6545253863134658	0.9657836644591612	0.7902869757174393	0.19426048565121412	0.15121412803532008	0.5121412803532008	0.91280353200883	0.6799116997792495	0.45584988962472406	0.1390728476821192	0.7715231788079471	0.5860927152317881	0.5474613686534217	0.6534216335540839	0.8079470198675497	0.0739514348785872	0.4867549668874172	0.7240618101545254	0.5253863134657837	0.9944812362030905	0.23178807947019867	0.9757174392935982	0.9812362030905077	0.5529801324503312	0.45253863134657835	0.3543046357615894	0.9602649006622517
15549X40	0.7339955849889624	0.760485651214128	0.7880794701986755	0.8410596026490066	0.8189845474613686	0.8388520971302428	0.7516556291390728	0.9050772626931567	0.5739514348785872	0.7880794701986755	0.8940397350993378	0.7693156732891833	0.7483443708609272	0.8123620309050773	0.0	0.8101545253863135	0.8289183222958058	0.7439293598233996	0.8498896247240618	0.8554083885209713	0.6909492273730684	0.7637969094922737	0.4922737306843267	0.9481236203090507	0.7924944812362031	0.7306843267108167	0.7549668874172185	0.6997792494481236	0.7439293598233996	0.5640176600441501	0.6931567328918322	0.7660044150110376	0.6479028697571744	0.7836644591611479	0.5441501103752759	0.7196467991169978	0.7958057395143487	0.7902869757174393	0.673289183222958	0.7935982339955849	0.7384105960264901	0.9679911699779249	0.760485651214128	0.8156732891832229	0.8940397350993378	0.6865342163355408	0.7196467991169978	0.7483443708609272	0.9260485651214128
15549X33	0.6280353200883002	0.7637969094922737	0.8112582781456954	0.8708609271523179	0.07505518763796909	0.9746136865342163	0.6821192052980133	0.9315673289183223	0.7637969094922737	0.20088300220750552	0.9768211920529801	0.8289183222958058	0.5298013245033113	0.02097130242825607	0.8101545253863135	0.0	0.8741721854304636	0.39183222958057395	0.934878587196468	0.8841059602649006	0.7317880794701986	0.891832229580574	0.6479028697571744	0.9646799116997793	0.7880794701986755	0.19757174392935983	0.152317880794702	0.5066225165562914	0.9139072847682119	0.6810154525386314	0.45253863134657835	0.13245033112582782	0.7704194260485652	0.5783664459161147	0.5419426048565121	0.6490066225165563	0.8013245033112583	0.0739514348785872	0.48233995584988965	0.7218543046357616	0.522075055187638	0.9900662251655629	0.23509933774834438	0.9713024282560706	0.9768211920529801	0.5518763796909493	0.45695364238410596	0.3565121412803532	0.9536423841059603
15549X8	0.8344370860927153	0.6876379690949227	0.7958057395143487	0.7218543046357616	0.869757174392936	0.7439293598233996	0.7538631346578366	0.7185430463576159	0.7947019867549668	0.8344370860927153	0.9392935982339956	0.7295805739514348	0.7030905077262694	0.8774834437086093	0.8289183222958058	0.8741721854304636	0.0	0.8487858719646799	0.8145695364238411	0.7571743929359823	0.7019867549668874	0.7350993377483444	0.8532008830022075	0.9017660044150111	0.7737306843267108	0.8664459161147903	0.8587196467991169	0.8498896247240618	0.7461368653421634	0.7582781456953642	0.8322295805739515	0.8532008830022075	0.7196467991169978	0.7748344370860927	0.8200883002207505	0.8609271523178808	0.7130242825607064	0.8741721854304636	0.8399558498896247	0.7781456953642384	0.8487858719646799	0.8785871964679912	0.8763796909492274	0.8830022075055187	0.8807947019867549	0.8377483443708609	0.826710816777042	0.7626931567328918	0.8554083885209713
15549X46	0.6059602649006622	0.7306843267108167	0.7969094922737306	0.8543046357615894	0.39514348785871967	0.9139072847682119	0.6467991169977925	0.9072847682119205	0.6821192052980133	0.35209713024282563	0.9602649006622517	0.7538631346578366	0.4370860927152318	0.39293598233995586	0.7439293598233996	0.39183222958057395	0.8487858719646799	0.0	0.8896247240618101	0.8289183222958058	0.6964679911699779	0.8498896247240618	0.6015452538631346	0.9293598233995585	0.7538631346578366	0.36644591611479027	0.37748344370860926	0.46799116997792495	0.8818984547461368	0.6467991169977925	0.44039735099337746	0.3730684326710817	0.7273730684326711	0.5419426048565121	0.46578366445916114	0.6335540838852097	0.782560706401766	0.37748344370860926	0.45364238410596025	0.7108167770419426	0.3973509933774834	0.9701986754966887	0.3631346578366446	0.8962472406181016	0.9260485651214128	0.5143487858719646	0.38631346578366443	0.33112582781456956	0.8940397350993378
15549X23	0.7913907284768212	0.6964679911699779	0.8068432671081678	0.7836644591611479	0.9381898454746137	0.6600441501103753	0.7958057395143487	0.7075055187637969	0.8068432671081678	0.8973509933774835	0.5386313465783664	0.7461368653421634	0.8013245033112583	0.9437086092715232	0.8498896247240618	0.934878587196468	0.8145695364238411	0.8896247240618101	0.0	0.7715231788079471	0.7549668874172185	0.8311258278145696	0.8708609271523179	0.9116997792494481	0.8123620309050773	0.8973509933774835	0.9293598233995585	0.8222958057395143	0.7273730684326711	0.8543046357615894	0.826710816777042	0.9161147902869757	0.7913907284768212	0.8101545253863135	0.8167770419426048	0.8189845474613686	0.7339955849889624	0.9304635761589404	0.8278145695364238	0.8631346578366446	0.8763796909492274	0.8940397350993378	0.9403973509933775	0.7682119205298014	0.8278145695364238	0.8167770419426048	0.8752759381898455	0.8333333333333334	0.7472406181015453
15549X13	0.782560706401766	0.6037527593818984	0.8057395143487859	0.7527593818984547	0.8852097130242825	0.8289183222958058	0.717439293598234	0.8311258278145696	0.8189845474613686	0.8421633554083885	0.9161147902869757	0.5154525386313465	0.7913907284768212	0.8885209713024282	0.8554083885209713	0.8841059602649006	0.7571743929359823	0.8289183222958058	0.7715231788079471	0.0	0.6832229580573952	0.8145695364238411	0.8598233995584988	0.9050772626931567	0.7362030905077263	0.8664459161147903	0.8785871964679912	0.8300220750551877	0.7682119205298014	0.8366445916114791	0.8167770419426048	0.8543046357615894	0.7362030905077263	0.7086092715231788	0.8178807947019867	0.8344370860927153	0.6423841059602649	0.8807947019867549	0.8134657836644592	0.8664459161147903	0.8123620309050773	0.9757174392935982	0.8807947019867549	0.8112582781456954	0.8830022075055187	0.8145695364238411	0.8421633554083885	0.8311258278145696	0.8233995584988962
