accession	message	sample_name	sample_title	bioproject_accession	organism	strain	isolate	breed	cultivar	ecotype	age	dev_stage	sex	tissue	biomaterial_provider	birth_date	birth_location	breeding_history	breeding_method	cell_line	cell_subtype	cell_type	collected_by	collection_date	culture_collection	death_date	disease	disease_stage	genotype	geo_loc_name	growth_protocol	health_state	isolation_source	lat_lon	phenotype	sample_type	specimen_voucher	store_cond	stud_book_number	treatment	description	mouse_id
SAMN12511643	Successfully loaded	30-9	30-9_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	30-9_AtgH_NYU
SAMN12511644	Successfully loaded	30-10	30-10_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	30-10_AtgH_NYU
SAMN12511645	Successfully loaded	30-33	30-33_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	30-33_AtgH_NYU
SAMN12511646	Successfully loaded	30-36	30-36_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	30-36_AtgH_NYU
SAMN12511647	Successfully loaded	78-84	78-84_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	78-84_AtgH_NYU
SAMN12511648	Successfully loaded	78-85	78-85_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	78-85_AtgH_NYU
SAMN12511649	Successfully loaded	86-3	86-3_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	86-3_AtgH_NYU
SAMN12511650	Successfully loaded	86-6	86-6_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	86-6_AtgH_NYU
SAMN12511651	Successfully loaded	86-7	86-7_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	86-7_AtgH_NYU
SAMN12511652	Successfully loaded	86-8	86-8_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	86-8_AtgH_NYU
SAMN12511653	Successfully loaded	86-9	86-9_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	86-9_AtgH_NYU
SAMN12511654	Successfully loaded	505150	50_51_50_B6_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_51_50_B6_SF
SAMN12511655	Successfully loaded	515553	51_55_53_B6_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	51_55_53_B6_SF
SAMN12511656	Successfully loaded	515654	51_56_54_B6_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	51_56_54_B6_SF
SAMN12511657	Successfully loaded	515255	51_52_55_B6_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	51_52_55_B6_SF
SAMN12511658	Successfully loaded	505148	50_51_48_B6_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_51_48_B6_SF
SAMN12511659	Successfully loaded	504849	50_48_49_B6_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_48_49_B6_SF
SAMN12511660	Successfully loaded	505551	50_55_51_B6_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_55_51_B6_SF
SAMN12511661	Successfully loaded	515450	51_54_50_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_54_50_NOD2_SF
SAMN12511662	Successfully loaded	515251	51_52_51_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_52_51_NOD2_SF
SAMN12511663	Successfully loaded	515050	51_50_50_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_50_50_NOD2_SF
SAMN12511664	Successfully loaded	515048	51_50_48_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_50_48_NOD2_SF
SAMN12511665	Successfully loaded	504857	50_48_57_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	50_48_57_NOD2_SF
SAMN12511666	Successfully loaded	505750	50_57_50_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	50_57_50_NOD2_SF
SAMN12511667	Successfully loaded	515250	51_52_50_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_52_50_NOD2_SF
SAMN12511668	Successfully loaded	515253	51_52_53_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_52_53_NOD2_SF
SAMN12511669	Successfully loaded	515753	51_57_53_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_57_53_NOD2_SF
SAMN12511670	Successfully loaded	514851	51_48_51_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_48_51_NOD2_SF
SAMN12511671	Successfully loaded	515152	51_51_52_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_51_52_NOD2_SF
SAMN12511672	Successfully loaded	505153	50_51_53_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	50_51_53_NOD2_SF
SAMN12511673	Successfully loaded	504848	50_48_48_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	50_48_48_NOD2_SF
SAMN12511674	Successfully loaded	505752	50_57_52_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	50_57_52_NOD2_SF
SAMN12511675	Successfully loaded	515555	51_55_55_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_55_55_NOD2_SF
SAMN12511676	Successfully loaded	514855	51_48_55_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_48_55_NOD2_SF
SAMN12511677	Successfully loaded	505248	50_52_48_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	50_52_48_NOD2_SF
SAMN12511678	Successfully loaded	514949	51_49_49_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_49_49_NOD2_SF
SAMN12511679	Successfully loaded	515249	51_52_49_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_52_49_NOD2_SF
