accession	message	sample_name	sample_title	bioproject_accession	organism	strain	isolate	breed	cultivar	ecotype	age	dev_stage	sex	tissue	biomaterial_provider	birth_date	birth_location	breeding_history	breeding_method	cell_line	cell_subtype	cell_type	collected_by	collection_date	culture_collection	death_date	disease	disease_stage	genotype	geo_loc_name	growth_protocol	health_state	isolation_source	lat_lon	phenotype	sample_type	specimen_voucher	store_cond	stud_book_number	treatment	description	mouse_id
SAMN12511696	Successfully loaded	505554	50_55_54_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	50_55_54_AtgH_SF
SAMN12511697	Successfully loaded	505756	50_57_56_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	50_57_56_AtgH_SF
SAMN12511698	Successfully loaded	505055	50_50_55_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	50_50_55_AtgH_SF
SAMN12511699	Successfully loaded	505548	50_55_48_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	50_55_48_AtgH_SF
SAMN12511700	Successfully loaded	515149	51_51_49_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	51_51_49_AtgH_SF
SAMN12511701	Successfully loaded	515054	51_50_54_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	51_50_54_AtgH_SF
SAMN12511702	Successfully loaded	505149	50_51_49_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	50_51_49_AtgH_SF
SAMN12511703	Successfully loaded	504951	50_49_51_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	50_49_51_AtgH_SF
SAMN12511704	Successfully loaded	505355	50_53_55_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	50_53_55_AtgH_SF
SAMN12511705	Successfully loaded	514951	51_49_51_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	51_49_51_AtgH_SF
SAMN12511706	Successfully loaded	515757	51_57_57_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	51_57_57_AtgH_SF
SAMN12511707	Successfully loaded	504853	50_48_53_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		NA	stool															NA												Fecal material was obtained after 8weeks from lab or rewilded mice	50_48_53_AtgH_SF
SAMN12511708	Successfully loaded	514957	51_49_57_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	51_49_57_AtgH_SF
SAMN12511709	Successfully loaded	515155	51_51_55_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	51_51_55_AtgH_SF
SAMN12511710	Successfully loaded	505656	50_56_56_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	50_56_56_AtgH_SF
SAMN12511711	Successfully loaded	515350	51_53_50_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	51_53_50_AtgH_SF
SAMN12511712	Successfully loaded	505648	50_56_48_AtgH_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	50_56_48_AtgH_SF
SAMN12511713	Successfully loaded	505748	50_57_48_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	50_57_48_AtgE_SF
SAMN12511714	Successfully loaded	505054	50_50_54_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	50_50_54_AtgE_SF
SAMN12511715	Successfully loaded	515357	51_53_57_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	51_53_57_AtgE_SF
SAMN12511716	Successfully loaded	515057	51_50_57_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	51_50_57_AtgE_SF
SAMN12511717	Successfully loaded	505449	50_54_49_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	50_54_49_AtgE_SF
SAMN12511718	Successfully loaded	505349	50_53_49_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	50_53_49_AtgE_SF
SAMN12511719	Successfully loaded	505556	50_55_56_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	50_55_56_AtgE_SF
SAMN12511720	Successfully loaded	505350	50_53_50_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	50_53_50_AtgE_SF
SAMN12511721	Successfully loaded	505550	50_55_50_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	50_55_50_AtgE_SF
SAMN12511722	Successfully loaded	515550	51_55_50_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	51_55_50_AtgE_SF
SAMN12511723	Successfully loaded	514856	51_48_56_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	51_48_56_AtgE_SF
SAMN12511724	Successfully loaded	515150	51_51_50_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	51_51_50_AtgE_SF
SAMN12511725	Successfully loaded	515749	51_57_49_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	51_57_49_AtgE_SF
SAMN12511726	Successfully loaded	504950	50_49_50_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	50_49_50_AtgE_SF
SAMN12511727	Successfully loaded	515256	51_52_56_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	51_52_56_AtgE_SF
SAMN12511728	Successfully loaded	515756	51_57_56_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	51_57_56_AtgE_SF
SAMN12511729	Successfully loaded	505557	50_55_57_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		NA	stool															NA												Fecal material was obtained after 8weeks from lab or rewilded mice	50_55_57_AtgE_SF
SAMN12511730	Successfully loaded	504852	50_48_52_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	50_48_52_AtgE_SF
SAMN12511731	Successfully loaded	505357	50_53_57_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	50_53_57_AtgE_SF
SAMN12511732	Successfully loaded	515653	51_56_53_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	51_56_53_AtgE_SF
SAMN12511733	Successfully loaded	505651	50_56_51_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	50_56_51_AtgE_SF
SAMN12511734	Successfully loaded	515254	51_52_54_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	51_52_54_AtgE_SF
SAMN12511735	Successfully loaded	515649	51_56_49_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	51_56_49_AtgE_SF
SAMN12511736	Successfully loaded	505253	50_52_53_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	50_52_53_AtgE_SF
SAMN12511737	Successfully loaded	505454	50_54_54_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	50_54_54_AtgE_SF
SAMN12511738	Successfully loaded	505356	50_53_56_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	50_53_56_AtgE_SF
SAMN12511739	Successfully loaded	505252	50_52_52_AtgE_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	50_52_52_AtgE_SF
SAMN12511740	Successfully loaded	505453	50_54_53_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_54_53_AtgW_SF
SAMN12511741	Successfully loaded	515157	51_51_57_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	51_51_57_AtgW_SF
SAMN12511742	Successfully loaded	515353	51_53_53_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	51_53_53_AtgW_SF
SAMN12511743	Successfully loaded	504954	50_49_54_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_49_54_AtgW_SF
SAMN12511744	Successfully loaded	515750	51_57_50_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	51_57_50_AtgW_SF
SAMN12511745	Successfully loaded	505452	50_54_52_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_54_52_AtgW_SF
SAMN12511746	Successfully loaded	505749	50_57_49_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_57_49_AtgW_SF
SAMN12511747	Successfully loaded	515651	51_56_51_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	51_56_51_AtgW_SF
SAMN12511748	Successfully loaded	515748	51_57_48_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	51_57_48_AtgW_SF
SAMN12511749	Successfully loaded	515455	51_54_55_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	51_54_55_AtgW_SF
SAMN12511750	Successfully loaded	514857	51_48_57_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	51_48_57_AtgW_SF
SAMN12511751	Successfully loaded	514849	51_48_49_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	51_48_49_AtgW_SF
SAMN12511752	Successfully loaded	505652	50_56_52_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_56_52_AtgW_SF
SAMN12511753	Successfully loaded	505654	50_56_54_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_56_54_AtgW_SF
SAMN12511754	Successfully loaded	505049	50_50_49_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_50_49_AtgW_SF
SAMN12511755	Successfully loaded	505650	50_56_50_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_56_50_AtgW_SF
SAMN12511756	Successfully loaded	505048	50_50_48_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_50_48_AtgW_SF
SAMN12511757	Successfully loaded	504949	50_49_49_AtgW_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_49_49_AtgW_SF
