alpha	lambda	MSE	num	Log2_MSE	combo
0.531	0.606148484848485	24.3062318997579	9	4.66142080090413	0.531;0.606
0.739	0.858668686868687	24.3068168298364	10	4.6614541470765	0.739;0.859
0.844	0.555644444444444	24.3121370867267	10	4.66175741325118	0.844;0.556
0.583	1.11118888888889	24.3165823671293	10	4.66201075499388	0.583;1.111
0.375	1.01018080808081	24.3178226721202	2	4.66208143349237	0.375;1.01
0.844	0.656652525252525	24.3242109015001	10	4.66244541045952	0.844;0.657
0.844	0.656652525252525	24.324674608537	3	4.66247182714513	0.844;0.657
0.583	0.606148484848485	24.32790751725	8	4.66265598760363	0.583;0.606
0.687	0.757660606060606	24.3347303228159	3	4.66304456696839	0.687;0.758
0.583	0.656652525252525	24.3366839298408	8	4.66315581151167	0.583;0.657
0.635	0.858668686868687	24.3371750261201	3	4.663183774733	0.635;0.859
0.531	0.858668686868687	24.3418518570434	9	4.66345004822775	0.531;0.859
0.583	0.707156565656566	24.3423858666241	8	4.66348044872339	0.583;0.707
0.583	0.757660606060606	24.3498008335063	8	4.66390250729777	0.583;0.758
0.375	0.757660606060606	24.3544710174376	2	4.66416826996316	0.375;0.758
0.427	1.21219696969697	24.3563810423127	5	4.66427694821661	0.427;1.212
0.687	0.707156565656566	24.3569374621034	3	4.66430860633312	0.687;0.707
0.635	0.808164646464646	24.3615817926054	4	4.66457282353428	0.635;0.808
0.479	0.555644444444444	24.3622803537925	2	4.66461256068038	0.479;0.556
0.635	0.808164646464646	24.3659490109887	3	4.66482123161643	0.635;0.808
0.635	0.909172727272727	24.3659702794573	3	4.66482244126568	0.635;0.909
0.375	1.06068484848485	24.3693612323462	2	4.66501528955417	0.375;1.061
0.479	1.06068484848485	24.3714383187279	2	4.66513340366552	0.479;1.061
0.635	0.454636363636364	24.3733471974377	4	4.66524194407304	0.635;0.455
0.583	0.555644444444444	24.3769537795987	8	4.66544699500305	0.583;0.556
0.792	0.404132323232323	24.3860851133834	3	4.66596602342993	0.792;0.404
0.583	0.454636363636364	24.3882290625583	10	4.66608785923981	0.583;0.455
0.427	0.858668686868687	24.3957154130944	5	4.66651321103091	0.427;0.859
0.844	0.555644444444444	24.397977862901	5	4.66664173191246	0.844;0.556
0.844	0.707156565656566	24.4014229771425	10	4.66683741332432	0.844;0.707
0.531	0.555644444444444	24.4073649045027	9	4.66717485058793	0.531;0.556
0.687	0.808164646464646	24.4093601555743	3	4.66728814158905	0.687;0.808
0.375	0.707156565656566	24.4110784480163	2	4.66738569966033	0.375;0.707
0.583	0.808164646464646	24.4114498957949	8	4.667406788177	0.583;0.808
0.844	0.707156565656566	24.4114932533346	3	4.66740924973092	0.844;0.707
0.531	0.909172727272727	24.4156907324412	9	4.66764753490945	0.531;0.909
0.844	0.606148484848485	24.4170138874049	3	4.66772264045889	0.844;0.606
0.375	1.11118888888889	24.4310432724964	8	4.66851874264812	0.375;1.111
0.427	1.26270101010101	24.4325131118281	5	4.66860212375893	0.427;1.263
0.375	1.16169292929293	24.4354822092625	8	4.66877054015208	0.375;1.162
0.583	0.757660606060606	24.4357276218659	5	4.66878445983463	0.583;0.758
0.792	0.252620202020202	24.4388243998648	10	4.6689600960256	0.792;0.253
