Feature	IL_1b_Bacillus.S.	IL_1b_Bacteroides.V.	IL_1b_Candida.A.	IL_1b_CD3_CD28	IL_1b_Clostridium.P.	IL_1b_PBS	IL_1b_Pseudomonas.A.	IL_1b_Staph.A.
Gm5506	0.0342920436662907	0.0542828705681433	0.0538084910935915	0.0234257656466149	0.0513057739700549	0.0199726659473985	0.0288344543708765	0.0483117500338348
Gm6213	0.0755376279479247	0.0514193127426508	0.0663694078438908	0.0454909733549427	0.0412404960860818	0.0345433536679633	0.0531273141713873	0.0520871899564316
Gm6225	0.00627700393142892	0.026768520704967	0.0323740067739044	0.0181992343112491	0.0131758890633912	0.0109568952217096	0.031290618472941	0.0404844977730702
Gm6548	0.00204076866333393	0.00311732183032208	0.0028728680149514	0.00165801098081983	0.00530452526652629	0.000557580214633269	0.00497064849042903	0.00188766158461972
Gng3	0.0159367701056914	0.00786167705928069	0.00798581632053365	0.00551911753518186	0.00439459526554235	0.00811061325745012	0.0115166369021603	0.00608203359091216
Gpr137c	0.0581152763790297	0.0321058678261961	0.0456820324272306	0.0791908117434074	0.011952743562567	0.0274407781772679	0.0233221242113272	0.0559231596382584
Gramd3	0.00126034109704182	0.00256456408065231	0.00187009119265926	0.000983173240356122	0.00149790324074624	0.000692289237990461	0.0012413687375098	0.00165358197899838
Gspt2	0.0280662379392472	0.0102318366305098	0.0248376605300045	0.0261365567773792	0.012454959668683	0.0196722438035855	0.014071824308383	0.0198877168843335
Hadha	0.00493396822225406	0.00702625411967527	0.00596111821607103	0.00667245269055655	0.00357436318744417	0.00176308624335046	0.00292011344567493	0.0035476802523491
Hist1h1c	0.00769865170437281	0.0146123636520541	0.0151290693837942	0.00432540262699715	0.0154561551818084	0.00479943084027102	0.00734874910015322	0.0116482994181932
Hnrnpab	0.0678176314975181	0.0911559080200267	0.0911022233411314	0.0763314408879177	0.0710925468605725	0.0200517306586732	0.0620881370106185	0.0786896711082753
Hspa5	0.00245528182214947	0.0096261845670343	0.00801228588481047	0.00144151263276241	0.0100750767756418	0.00532841141466168	0.00479842336439831	0.00790593995167001
Jak1	0.00194324829415869	0.0036929434474566	0.00246997258181165	0.00144726772124836	0.00321793520465504	0.00104780698092805	0.00230893785722156	0.00216441051946818
